//X,Y,Z,R,G,B
401815.060,5755924.190,79.940,128,159,85
401815.130,5755924.250,79.890,104,134,58
401815.120,5755924.130,79.930,131,163,85
401815.190,5755924.180,79.860,112,143,63
401815.110,5755924.010,79.990,142,174,97
401815.190,5755924.060,79.890,127,158,79
401815.250,5755924.110,79.850,117,145,64
401815.310,5755924.180,79.920,106,135,53
401815.240,5755924.000,79.910,127,158,79
401815.310,5755924.060,79.930,108,138,57
401815.100,5755923.770,80.010,133,165,87
401815.240,5755923.880,79.960,142,175,93
401815.560,5755924.040,79.860,99,127,40
401816.260,5755924.710,79.780,136,158,83
401816.320,5755924.650,79.820,148,166,90
401816.400,5755924.700,79.720,127,148,69
401816.460,5755924.760,79.720,128,146,69
401816.530,5755924.810,79.680,122,135,63
401816.120,5755924.340,79.830,152,166,80
401816.320,5755924.520,79.800,150,166,83
401816.400,5755924.570,79.730,146,161,80
401816.460,5755924.630,79.700,127,147,66
401816.530,5755924.690,79.680,118,136,61
401816.600,5755924.750,79.680,95,113,43
401816.670,5755924.800,79.620,85,102,36
401816.810,5755924.910,79.510,115,127,63
401816.060,5755924.150,79.820,158,172,89
401816.120,5755924.230,79.840,161,178,88
401816.190,5755924.270,79.780,153,170,77
401816.390,5755924.460,79.770,151,165,83
401816.460,5755924.500,79.700,154,167,87
401816.530,5755924.560,79.670,136,152,74
401816.590,5755924.630,79.690,119,136,62
401816.650,5755924.690,79.690,96,113,41
401816.720,5755924.750,79.670,92,107,38
401816.780,5755924.800,79.620,99,115,45
401816.850,5755924.860,79.600,107,123,53
401816.920,5755924.920,79.580,103,119,51
401816.980,5755924.990,79.600,94,111,45
401816.250,5755924.220,79.800,150,167,73
401816.330,5755924.270,79.710,141,156,65
401816.590,5755924.510,79.680,119,138,58
401816.650,5755924.570,79.720,117,134,57
401816.710,5755924.630,79.720,103,121,47
401816.780,5755924.690,79.710,93,111,40
401816.840,5755924.750,79.630,94,110,39
401816.910,5755924.800,79.600,105,123,49
401816.980,5755924.860,79.600,120,136,60
401817.040,5755924.930,79.620,124,139,63
401817.100,5755924.990,79.650,117,136,58
401817.160,5755925.060,79.660,121,142,59
401816.590,5755924.380,79.660,134,151,68
401816.650,5755924.450,79.710,117,138,58
401816.700,5755924.510,79.740,113,129,53
401816.760,5755924.580,79.790,99,116,42
401816.830,5755924.630,79.740,99,115,45
401816.900,5755924.680,79.640,95,114,42
401816.970,5755924.740,79.630,108,127,51
401817.030,5755924.810,79.640,142,151,72
401817.090,5755924.870,79.670,139,149,68
401817.150,5755924.930,79.700,135,155,69
401817.220,5755924.990,79.680,140,162,78
401817.290,5755925.050,79.610,137,157,72
401817.350,5755925.110,79.630,136,155,71
401817.420,5755925.170,79.630,143,158,75
401816.710,5755924.380,79.710,139,155,76
401816.760,5755924.450,79.770,121,139,63
401816.820,5755924.510,79.780,94,117,41
401816.890,5755924.570,79.770,94,114,40
401816.960,5755924.630,79.740,97,120,41
401817.020,5755924.690,79.710,112,138,55
401817.080,5755924.750,79.710,134,153,74
401817.150,5755924.810,79.700,126,145,68
401817.220,5755924.860,79.640,124,146,69
401817.280,5755924.930,79.660,124,146,69
401817.340,5755924.990,79.670,131,148,71
401817.410,5755925.050,79.630,141,154,74
401817.470,5755925.110,79.650,154,164,84
401817.560,5755925.160,79.560,158,166,83
401817.620,5755925.220,79.560,155,164,83
401816.950,5755924.510,79.770,104,132,54
401817.020,5755924.570,79.740,97,127,45
401817.080,5755924.630,79.720,117,147,63
401817.140,5755924.690,79.740,132,158,74
401817.200,5755924.750,79.730,133,153,74
401817.290,5755924.800,79.610,127,147,71
