//X,Y,Z,R,G,B
401908.150,5755817.130,79.840,98,130,46
401908.070,5755817.090,79.830,108,139,58
401908.090,5755817.180,79.870,94,129,46
401908.010,5755817.140,79.870,92,119,45
401907.940,5755817.110,79.860,95,115,48
401907.970,5755817.210,79.890,72,98,30
401907.840,5755817.230,79.910,97,121,56
401907.680,5755817.160,79.910,91,117,39
401907.600,5755817.120,79.910,98,121,45
401907.880,5755817.360,79.900,83,111,40
401907.810,5755817.340,79.880,90,117,39
401907.640,5755817.230,79.900,92,118,39
401907.570,5755817.200,79.890,90,114,39
401907.480,5755817.160,79.900,84,106,38
401907.420,5755817.140,79.870,96,117,46
401907.840,5755817.420,79.920,82,111,43
401907.760,5755817.390,79.900,83,107,35
401907.680,5755817.350,79.900,96,116,42
401907.620,5755817.340,79.870,100,122,46
401907.540,5755817.300,79.860,89,113,40
401907.450,5755817.250,79.870,92,113,47
401907.410,5755817.270,79.800,110,132,61
401907.340,5755817.250,79.770,114,140,63
401907.800,5755817.500,79.920,80,110,42
401907.750,5755817.510,79.860,70,97,29
401907.660,5755817.460,79.860,81,100,34
401907.580,5755817.420,79.860,100,118,51
401907.500,5755817.390,79.850,96,119,48
401907.410,5755817.320,79.880,96,119,51
401907.340,5755817.310,79.850,107,132,61
401907.270,5755817.280,79.840,107,134,60
401907.690,5755817.560,79.890,68,100,32
401907.620,5755817.530,79.880,77,102,38
401907.550,5755817.510,79.850,97,120,51
401907.470,5755817.470,79.850,90,116,43
401907.380,5755817.410,79.880,96,120,52
401907.300,5755817.380,79.870,103,128,60
401907.220,5755817.350,79.860,111,137,68
401907.060,5755817.150,80.060,109,134,67
401907.500,5755817.580,79.870,95,121,45
401907.420,5755817.530,79.870,92,117,41
401907.340,5755817.490,79.870,94,117,47
401907.230,5755817.400,79.950,99,121,51
401907.030,5755817.240,80.050,106,132,67
401906.940,5755817.200,80.060,102,128,63
401907.290,5755817.550,79.900,93,117,43
401907.220,5755817.540,79.860,95,117,44
401907.100,5755817.420,79.970,104,126,56
401906.990,5755817.330,80.040,104,129,63
401906.860,5755817.310,79.960,99,120,54
401906.760,5755817.200,80.060,101,120,54
401906.670,5755817.140,80.080,109,126,58
401907.040,5755817.460,80.020,102,126,50
401906.980,5755817.450,79.980,109,133,64
401906.920,5755817.450,79.930,103,126,53
401906.810,5755817.360,79.990,96,117,42
401906.720,5755817.300,80.030,93,110,40
401906.640,5755817.240,80.050,111,121,54
401906.570,5755817.220,80.020,128,137,68
401906.490,5755817.180,80.030,124,139,74
401907.010,5755817.550,80.010,105,128,51
401906.910,5755817.480,80.050,106,128,54
401906.500,5755817.240,80.110,122,138,68
401906.420,5755817.200,80.110,130,145,80
401906.350,5755817.210,80.190,125,142,80
401928.680,5755816.560,80.270,65,100,36
401928.630,5755816.490,80.270,63,96,35
401928.680,5755816.680,80.240,84,118,48
401928.620,5755816.610,80.250,71,105,40
401928.560,5755816.540,80.270,80,112,48
401928.680,5755816.810,80.210,65,99,40
401928.630,5755816.740,80.200,67,104,39
401928.560,5755816.670,80.230,69,101,38
401928.520,5755816.600,80.200,76,108,46
401928.470,5755816.540,80.180,87,121,54
401928.670,5755816.930,80.220,68,106,45
401928.620,5755816.860,80.210,74,110,45
401928.560,5755816.790,80.200,70,104,40
401928.500,5755816.730,80.210,69,101,38
401928.450,5755816.660,80.190,79,111,45
401928.400,5755816.590,80.180,81,115,51
401928.350,5755816.520,80.200,58,95,38
401928.540,5755816.920,80.220,82,119,56
401928.490,5755816.850,80.200,76,110,48
401928.430,5755816.780,80.210,69,102,42
401928.380,5755816.720,80.190,79,113,47
401928.330,5755816.650,80.170,98,132,62
401928.280,5755816.580,80.190,77,115,50
401928.220,5755816.510,80.210,87,123,55
401928.430,5755816.910,80.200,93,124,60
401928.370,5755816.840,80.200,90,124,64
401928.320,5755816.770,80.180,76,115,51
401928.270,5755816.700,80.170,78,116,46
401928.210,5755816.640,80.190,73,109,43
401928.150,5755816.570,80.210,87,122,52
401928.090,5755816.500,80.240,88,122,54
401928.360,5755816.960,80.190,83,118,56
401928.310,5755816.900,80.180,74,110,49
401928.250,5755816.830,80.170,53,89,35
401928.200,5755816.760,80.160,50,86,31
401928.150,5755816.690,80.180,65,100,39
401928.090,5755816.620,80.190,61,98,37
401928.030,5755816.560,80.210,53,89,35
401928.250,5755816.950,80.160,43,77,29
401928.190,5755816.890,80.150,38,69,28
401928.140,5755816.820,80.140,63,96,39
401928.090,5755816.750,80.150,70,106,41
401928.030,5755816.680,80.170,68,102,40
401927.970,5755816.610,80.170,53,87,36
401927.910,5755816.550,80.190,44,78,31
401928.130,5755816.940,80.130,51,80,35
401928.080,5755816.880,80.120,90,125,60
401928.020,5755816.810,80.120,89,128,60
401927.970,5755816.740,80.140,79,115,51
401927.920,5755816.670,80.130,59,93,36
401927.860,5755816.600,80.140,55,87,33
401927.790,5755816.530,80.170,57,90,39
401928.000,5755816.930,80.140,90,130,58
401927.960,5755816.860,80.100,86,130,60
401927.900,5755816.800,80.130,91,130,62
401927.870,5755816.720,80.070,83,119,50
401927.820,5755816.650,80.060,70,104,43
401927.730,5755816.590,80.140,56,90,36
401927.680,5755816.520,80.130,70,106,45
401927.880,5755816.910,80.130,84,123,51
401927.840,5755816.840,80.110,92,129,54
401927.790,5755816.780,80.080,92,129,56
401927.740,5755816.710,80.080,92,128,61
401927.680,5755816.640,80.110,94,131,66
401927.610,5755816.570,80.150,90,127,58
401927.810,5755816.970,80.170,81,118,48
401927.780,5755816.900,80.110,80,117,43
401927.720,5755816.830,80.100,82,119,49
401927.660,5755816.760,80.110,102,140,70
401927.600,5755816.700,80.120,106,146,73
401927.540,5755816.630,80.140,93,131,62
401927.480,5755816.560,80.150,83,118,50
401927.710,5755816.960,80.090,67,101,42
401927.650,5755816.890,80.110,66,100,41
401927.590,5755816.820,80.130,92,131,64
401927.530,5755816.750,80.130,87,127,59
401927.470,5755816.680,80.150,61,94,36
401927.410,5755816.620,80.150,71,105,42
401927.360,5755816.550,80.150,76,109,46
401927.580,5755816.940,80.120,53,85,38
401927.520,5755816.880,80.130,78,112,56
401927.470,5755816.810,80.120,95,130,61
401927.410,5755816.740,80.120,90,120,51
401927.350,5755816.670,80.140,92,124,59
401927.290,5755816.600,80.140,65,99,44
401927.240,5755816.540,80.110,49,81,34
401927.460,5755816.930,80.110,60,88,39
401927.400,5755816.870,80.120,82,110,49
401927.330,5755816.800,80.150,93,123,56
401927.280,5755816.730,80.140,78,110,52
401927.220,5755816.660,80.150,71,102,50
401927.170,5755816.590,80.130,64,93,44
401927.130,5755816.530,80.060,67,101,47
401927.400,5755816.990,80.070,82,109,51
401927.320,5755816.920,80.170,95,118,59
401927.250,5755816.850,80.190,97,123,64
401927.190,5755816.780,80.220,65,96,44
401927.130,5755816.710,80.220,73,102,49
401927.080,5755816.650,80.190,86,112,55
401927.040,5755816.580,80.160,77,109,51
401927.250,5755816.980,80.170,102,131,65
401927.190,5755816.910,80.180,98,125,67
401927.110,5755816.840,80.250,79,108,56
401927.100,5755816.770,80.100,84,113,54
