//X,Y,Z,R,G,B
401863.170,5755882.020,79.680,95,123,77
401863.190,5755882.150,79.730,99,112,81
401863.150,5755882.080,79.760,101,126,83
401863.130,5755882.030,79.810,109,144,88
401863.140,5755881.970,79.900,123,158,100
401863.140,5755881.920,79.980,123,158,96
401863.110,5755881.860,80.010,122,160,92
401863.170,5755882.100,79.940,105,135,78
401863.150,5755882.040,80.000,124,159,93
401863.130,5755881.990,80.060,122,159,92
401863.110,5755881.930,80.110,117,156,87
401863.130,5755881.880,80.200,128,167,95
401863.150,5755882.170,80.000,89,115,65
401863.140,5755882.110,80.070,106,141,79
401863.170,5755882.060,80.180,125,164,94
401863.100,5755882.000,80.170,120,159,89
401863.130,5755882.230,80.060,101,132,76
401863.110,5755882.170,80.110,94,131,75
401863.110,5755882.120,80.180,110,149,85
401863.090,5755882.350,80.010,132,161,98
401863.080,5755882.290,80.080,137,166,104
401863.050,5755882.230,80.120,115,149,91
401863.030,5755882.180,80.170,106,145,86
401863.030,5755882.120,80.240,108,148,85
401863.050,5755882.410,80.040,119,146,91
401863.010,5755882.350,80.070,118,144,88
401862.990,5755882.290,80.110,104,135,81
401862.960,5755882.230,80.160,108,145,88
401862.970,5755882.180,80.240,118,155,93
401862.990,5755882.470,80.050,123,154,97
401862.940,5755882.400,80.060,103,138,84
401862.910,5755882.340,80.090,93,129,80
401862.930,5755882.520,80.060,142,176,110
401862.880,5755882.460,80.070,129,164,101
401862.930,5755882.590,80.140,143,181,113
401862.860,5755882.530,80.120,133,170,107
401862.910,5755882.650,80.200,140,179,113
401862.820,5755882.590,80.150,132,173,107
401862.990,5755882.790,80.320,130,167,100
401862.890,5755882.720,80.250,123,162,94
401862.800,5755882.650,80.210,134,176,106
401862.860,5755882.780,80.310,116,154,88
401862.790,5755882.710,80.280,123,162,95
401862.730,5755882.720,80.370,127,170,102
401862.710,5755882.780,80.410,129,172,103
401862.620,5755883.130,80.470,117,156,95
401862.720,5755883.430,80.390,110,149,93
401862.700,5755883.370,80.440,116,159,97
401862.570,5755883.180,80.490,98,138,81
401862.800,5755883.670,80.350,123,159,97
401862.750,5755883.610,80.360,124,159,96
401862.670,5755883.540,80.330,108,147,86
401862.660,5755883.430,80.470,114,158,99
401862.520,5755883.240,80.510,113,156,100
401862.770,5755883.730,80.410,130,165,100
401862.730,5755883.670,80.420,130,169,105
