//X,Y,Z,R,G,B
401913.010,5755865.630,80.220,125,164,103
401912.970,5755865.650,80.300,119,155,96
401913.060,5755865.920,80.240,84,113,61
401913.120,5755866.090,80.270,109,147,86
401913.050,5755866.040,80.250,89,126,66
401912.990,5755865.980,80.240,73,104,52
401913.110,5755866.210,80.290,129,163,99
401913.060,5755866.140,80.290,114,147,90
401913.000,5755866.080,80.280,84,120,64
401913.120,5755866.300,80.350,118,153,87
401913.070,5755866.230,80.360,136,163,99
401912.830,5755866.320,80.390,102,139,79
401912.770,5755866.260,80.390,87,123,67
401912.710,5755866.310,80.390,96,137,78
401913.390,5755868.020,80.220,107,139,73
401913.340,5755867.930,80.260,100,137,72
401913.430,5755868.210,80.200,84,125,72
401913.410,5755868.350,80.170,84,125,70
401913.480,5755868.500,80.250,90,128,75
401913.410,5755868.470,80.180,92,132,77
401913.340,5755868.420,80.140,100,139,79
401913.270,5755868.480,80.140,107,142,78
401913.520,5755868.800,80.260,97,133,79
401913.560,5755868.990,80.250,78,119,69
401917.140,5755895.300,79.180,182,176,118
401917.100,5755895.110,79.150,187,183,121
401917.160,5755895.180,79.160,187,182,121
401917.210,5755895.240,79.180,185,179,120
401917.310,5755895.300,79.130,180,174,114
401917.100,5755894.990,79.150,182,180,120
401917.160,5755895.050,79.150,188,182,120
401917.250,5755895.110,79.120,181,173,111
401917.290,5755895.180,79.150,174,170,111
401917.350,5755895.240,79.160,174,172,112
401917.080,5755894.790,79.110,170,176,121
401917.140,5755894.860,79.090,178,179,122
401917.210,5755894.920,79.090,189,184,125
401917.250,5755894.990,79.120,177,168,111
401917.290,5755895.050,79.160,165,158,103
401917.340,5755895.110,79.180,166,164,107
401917.390,5755895.180,79.190,163,161,104
401917.450,5755895.240,79.200,163,160,102
401917.050,5755894.670,79.150,166,173,112
401917.130,5755894.730,79.140,174,178,119
401917.220,5755894.790,79.070,181,180,121
401917.260,5755894.860,79.100,185,177,120
401917.310,5755894.920,79.130,162,154,101
401917.350,5755894.990,79.160,162,162,105
401917.380,5755895.050,79.200,153,155,95
401917.430,5755895.120,79.230,145,150,90
401917.500,5755895.180,79.210,146,150,89
401917.550,5755895.240,79.230,147,148,89
401917.010,5755894.540,79.220,178,176,110
401917.080,5755894.610,79.210,170,173,109
401917.160,5755894.670,79.180,170,174,111
401917.220,5755894.730,79.170,175,177,114
401917.330,5755894.790,79.100,174,172,113
401917.370,5755894.860,79.130,163,167,109
401917.410,5755894.920,79.160,160,169,106
401917.440,5755894.990,79.210,146,157,95
401917.480,5755895.050,79.250,142,152,90
401917.090,5755894.480,79.200,187,183,120
401917.140,5755894.540,79.220,179,181,116
401917.240,5755894.610,79.160,174,179,115
401917.350,5755894.670,79.090,175,178,116
401917.380,5755894.730,79.110,181,182,123
401917.430,5755894.800,79.140,183,184,122
401917.470,5755894.860,79.170,169,174,110
401917.510,5755894.930,79.200,156,164,103
401916.930,5755894.160,79.160,192,184,129
401916.960,5755894.230,79.210,192,183,129
401917.020,5755894.290,79.210,200,190,136
401917.080,5755894.350,79.210,199,190,135
401917.170,5755894.420,79.180,196,189,132
401917.210,5755894.480,79.200,193,190,129
401917.310,5755894.540,79.160,187,186,125
401917.360,5755894.610,79.160,185,185,125
401917.440,5755894.670,79.120,188,186,128
401917.490,5755894.730,79.140,185,181,121
401916.980,5755894.100,79.170,188,182,123
401917.000,5755894.160,79.230,194,186,128
401917.090,5755894.230,79.200,199,189,135
401917.150,5755894.290,79.200,198,188,133
401917.240,5755894.350,79.170,195,185,130
401917.330,5755894.410,79.120,191,184,127
401917.380,5755894.480,79.150,190,185,127
401917.440,5755894.540,79.130,193,189,131
401916.890,5755893.910,79.210,169,170,112
401916.970,5755893.970,79.190,179,178,117
401917.050,5755894.030,79.170,182,176,115
401917.110,5755894.100,79.170,186,177,120
401917.170,5755894.160,79.170,196,186,132
401917.230,5755894.230,79.180,198,188,132
401917.310,5755894.290,79.160,191,183,129
401917.400,5755894.350,79.120,194,189,136
401917.100,5755893.970,79.180,176,173,115
401917.170,5755894.030,79.180,188,179,126
401917.230,5755894.100,79.180,198,185,134
401917.300,5755894.160,79.170,199,187,135
401917.380,5755894.220,79.140,195,185,134
401916.840,5755893.590,79.210,159,171,104
401917.100,5755895.250,79.250,186,176,110
401917.160,5755895.320,79.240,187,175,111
401917.100,5755895.120,79.250,190,179,111
401917.160,5755895.190,79.250,191,179,114
401917.230,5755895.250,79.250,186,177,112
401917.300,5755895.320,79.230,177,170,104
401917.050,5755894.930,79.240,185,179,113
401917.110,5755895.000,79.230,194,182,115
401917.170,5755895.070,79.230,188,173,105
401917.230,5755895.130,79.240,178,169,102
401917.290,5755895.190,79.250,181,176,108
401917.360,5755895.270,79.220,180,175,111
401917.070,5755894.810,79.220,184,181,116
401917.120,5755894.880,79.220,189,181,115
401917.180,5755894.940,79.220,187,174,108
401917.260,5755895.030,79.140,170,159,96
401917.300,5755895.070,79.230,172,166,102
401917.360,5755895.140,79.230,170,166,99
401917.430,5755895.200,79.220,170,165,105
401917.480,5755895.260,79.250,166,161,101
401917.020,5755894.630,79.200,175,177,106
401917.070,5755894.690,79.210,176,180,112
401917.130,5755894.750,79.220,183,182,114
401917.180,5755894.810,79.230,189,182,113
401917.240,5755894.880,79.220,171,162,96
401917.330,5755894.970,79.160,164,160,99
401917.370,5755895.010,79.230,159,160,94
401917.430,5755895.070,79.230,153,155,91
401917.490,5755895.140,79.230,155,157,94
401917.550,5755895.200,79.240,153,153,88
401917.030,5755894.510,79.170,191,182,110
401917.090,5755894.580,79.180,182,179,107
401917.150,5755894.640,79.190,173,174,103
401917.200,5755894.700,79.200,180,179,110
401917.250,5755894.760,79.210,180,177,108
401917.310,5755894.820,79.220,177,173,107
401917.390,5755894.900,79.160,175,176,110
401917.430,5755894.940,79.240,155,163,92
401917.500,5755895.020,79.210,153,161,93
401917.550,5755895.070,79.230,156,159,92
401916.970,5755894.320,79.180,197,184,122
401917.030,5755894.390,79.170,203,191,128
401917.090,5755894.450,79.170,198,188,121
401917.150,5755894.520,79.170,196,189,120
401917.210,5755894.580,79.190,190,186,117
401917.270,5755894.630,79.210,188,183,118
401917.310,5755894.690,79.220,185,181,115
401917.370,5755894.750,79.230,187,183,115
401917.450,5755894.840,79.170,177,175,107
401917.500,5755894.890,79.210,165,168,97
401916.970,5755894.190,79.170,194,182,119
401917.040,5755894.260,79.160,200,188,130
401917.100,5755894.330,79.150,204,192,133
401917.160,5755894.390,79.180,205,192,131
401917.220,5755894.450,79.180,206,193,130
401917.280,5755894.510,79.190,197,187,121
401917.330,5755894.570,79.220,187,180,115
401917.380,5755894.630,79.230,190,182,117
401917.440,5755894.690,79.230,188,179,112
401916.960,5755894.060,79.210,189,180,115
401917.030,5755894.130,79.180,188,177,115
401917.100,5755894.190,79.180,196,184,125
401917.160,5755894.260,79.180,204,190,132
401917.220,5755894.320,79.190,202,188,127
401917.280,5755894.390,79.190,200,186,126
401917.330,5755894.440,79.220,199,186,124
401917.390,5755894.500,79.240,197,184,120
401917.430,5755894.560,79.250,195,182,118
401916.900,5755893.860,79.230,185,180,116
401916.960,5755893.930,79.220,186,181,111
401917.030,5755893.990,79.210,180,173,107
401917.090,5755894.060,79.200,180,170,109
401917.160,5755894.130,79.200,191,178,119
401917.220,5755894.200,79.190,200,186,126
401917.280,5755894.260,79.200,196,184,122
401917.340,5755894.320,79.200,198,187,126
401917.400,5755894.380,79.220,198,188,124
401916.900,5755893.730,79.230,176,174,110
401916.970,5755893.800,79.220,178,175,109
401917.030,5755893.870,79.210,169,167,99
401917.090,5755893.930,79.200,176,172,108
401917.160,5755894.000,79.200,191,179,118
401917.220,5755894.070,79.190,201,184,125
401917.290,5755894.130,79.190,203,187,127
401917.340,5755894.200,79.200,196,184,124
401917.410,5755894.260,79.200,191,181,122
401916.850,5755893.530,79.250,171,178,104
401916.900,5755893.600,79.250,177,176,105
401916.960,5755893.670,79.250,165,163,99
401917.030,5755893.730,79.230,151,154,89
401917.090,5755893.800,79.220,155,157,93
401917.160,5755893.870,79.200,182,178,110
401917.220,5755893.940,79.200,201,188,119
401917.290,5755894.010,79.190,201,185,121
401917.350,5755894.070,79.190,189,175,113
401916.830,5755893.400,79.320,161,172,95
401916.900,5755893.470,79.290,167,172,95
401916.960,5755893.540,79.280,167,165,93
401917.020,5755893.610,79.260,144,144,79
401917.090,5755893.680,79.240,144,150,83
401917.160,5755893.750,79.220,152,157,90
401917.220,5755893.820,79.210,167,171,97
401917.280,5755893.880,79.210,170,169,95
401917.350,5755893.960,79.180,172,169,98
401916.830,5755893.270,79.340,137,151,80
401916.890,5755893.330,79.350,155,164,88
401916.950,5755893.400,79.330,157,161,83
401917.020,5755893.470,79.310,165,164,87
