//X,Y,Z,R,G,B
401945.460,5755862.230,79.420,90,118,23
401945.540,5755862.560,79.380,86,119,13
401945.340,5755862.350,79.410,86,119,15
401945.290,5755862.280,79.400,86,122,15
401945.480,5755862.620,79.370,84,117,15
401945.330,5755862.470,79.410,76,107,14
401945.270,5755862.410,79.410,92,125,15
401945.240,5755862.350,79.380,93,128,17
401945.190,5755862.280,79.370,94,127,20
401945.430,5755862.680,79.340,99,133,18
401945.330,5755862.600,79.400,94,123,21
401945.270,5755862.530,79.400,91,121,27
401945.220,5755862.470,79.390,93,126,22
401945.170,5755862.400,79.390,91,124,17
401945.080,5755862.280,79.350,98,130,21
401945.270,5755862.660,79.390,100,135,22
401945.220,5755862.600,79.380,92,127,24
401945.170,5755862.540,79.360,90,121,22
401945.100,5755862.460,79.380,87,118,18
401945.040,5755862.390,79.390,90,122,16
401945.040,5755862.350,79.320,98,132,18
401944.950,5755862.270,79.350,100,133,18
401945.140,5755862.650,79.390,88,120,16
401945.090,5755862.590,79.380,98,127,20
401945.040,5755862.530,79.370,101,131,23
401944.980,5755862.450,79.380,86,121,12
401944.970,5755862.400,79.330,84,118,10
401944.900,5755862.330,79.340,91,124,12
401944.840,5755862.260,79.340,98,130,15
401945.080,5755862.710,79.390,97,124,25
401945.010,5755862.640,79.390,104,131,26
401944.820,5755862.340,79.280,104,133,22
401944.730,5755862.260,79.310,104,133,24
401944.970,5755862.710,79.370,104,130,32
401944.640,5755862.270,79.270,97,126,17
401944.540,5755862.310,79.320,108,136,26
401944.350,5755862.360,79.310,97,129,22
401944.340,5755862.310,79.240,90,120,30
401944.350,5755862.490,79.290,97,131,20
401944.310,5755862.430,79.270,89,118,22
401944.290,5755862.370,79.220,93,116,33
401944.240,5755862.310,79.210,117,136,65
401944.330,5755862.610,79.310,86,117,17
401944.300,5755862.550,79.280,88,117,27
401944.280,5755862.500,79.220,87,112,29
401944.240,5755862.440,79.200,95,114,39
401944.190,5755862.370,79.190,113,129,63
401944.130,5755862.310,79.180,128,143,76
401944.270,5755862.670,79.300,85,114,23
401944.240,5755862.610,79.260,85,111,32
401944.210,5755862.550,79.230,87,110,36
401944.170,5755862.500,79.200,104,120,52
401944.120,5755862.430,79.180,116,128,64
401944.060,5755862.360,79.190,145,155,89
401943.980,5755862.290,79.220,152,168,95
401944.210,5755862.730,79.300,78,103,27
401944.190,5755862.680,79.240,80,103,36
401944.140,5755862.610,79.230,88,105,42
401944.110,5755862.560,79.190,105,118,55
401944.060,5755862.490,79.180,118,127,64
401943.990,5755862.420,79.190,148,157,90
401943.910,5755862.350,79.210,139,159,79
