//X,Y,Z,R,G,B
401891.870,5755901.260,79.980,116,148,91
401891.830,5755901.250,79.890,107,143,84
401891.930,5755901.470,79.940,114,142,88
401891.870,5755901.390,79.960,112,142,92
401891.830,5755901.380,79.870,117,148,96
401891.820,5755901.490,79.880,111,140,91
401891.760,5755901.410,79.920,115,144,94
401891.860,5755901.650,79.940,113,150,90
401891.730,5755901.500,79.980,109,147,92
401891.750,5755901.670,79.890,108,146,89
401891.670,5755901.560,79.980,105,144,87
401891.680,5755901.700,79.940,113,150,99
401891.490,5755901.470,80.000,116,151,92
401891.430,5755901.420,79.990,106,144,87
401891.600,5755901.730,79.980,110,148,94
401891.550,5755901.670,79.980,98,135,78
401891.490,5755901.620,79.950,106,141,83
401891.440,5755901.570,79.940,105,142,90
401891.380,5755901.500,79.950,104,140,86
401891.320,5755901.440,79.940,101,135,82
401891.550,5755901.820,79.930,98,134,81
401891.480,5755901.730,79.980,76,110,52
401891.430,5755901.680,79.960,94,123,63
401891.370,5755901.610,79.960,106,140,86
401891.310,5755901.540,79.980,100,137,84
401891.260,5755901.510,79.920,83,120,70
401891.480,5755901.860,79.950,95,128,71
401891.420,5755901.780,79.980,81,113,59
401891.360,5755901.730,79.970,84,112,57
401891.300,5755901.660,79.970,107,138,80
401891.240,5755901.590,79.990,105,142,86
401891.180,5755901.510,80.020,90,128,77
401891.350,5755901.830,80.010,113,146,91
401891.290,5755901.760,80.020,113,146,93
401891.230,5755901.700,80.020,111,146,90
401891.170,5755901.640,80.010,103,140,81
401891.100,5755901.550,80.060,95,132,80
401891.100,5755901.670,80.050,95,133,77
401891.040,5755901.590,80.080,89,126,73
401891.040,5755901.730,80.060,95,132,78
401890.970,5755901.650,80.080,85,122,69
401890.920,5755901.600,80.050,92,126,74
401890.850,5755901.650,80.080,107,139,84
401890.790,5755901.700,80.080,113,146,92
401890.660,5755901.800,80.100,115,149,98
401890.540,5755901.780,80.110,98,135,85
401890.720,5755902.130,80.040,97,133,80
401890.660,5755902.070,80.040,86,122,71
401890.610,5755902.010,80.030,100,131,82
401890.550,5755901.950,80.040,104,138,91
401890.660,5755902.210,80.010,95,131,79
401890.610,5755902.150,80.000,84,119,66
401890.550,5755902.090,80.000,108,138,88
401890.490,5755902.020,80.010,110,142,99
401890.420,5755901.920,80.080,100,133,88
401890.560,5755902.240,79.940,98,127,74
401890.500,5755902.190,79.920,114,142,93
401890.440,5755902.110,79.940,98,132,88
401890.370,5755902.020,80.000,83,119,73
401890.310,5755901.960,80.000,96,130,84
401890.500,5755902.310,79.920,99,129,75
401890.440,5755902.240,79.930,94,127,74
401890.380,5755902.170,79.950,101,136,86
401890.320,5755902.100,79.960,102,139,90
401890.250,5755902.020,79.990,102,140,91
401890.190,5755901.950,80.000,89,128,81
401890.380,5755902.310,79.910,92,129,71
401890.330,5755902.270,79.870,115,151,93
401890.260,5755902.180,79.910,118,157,103
401890.200,5755902.110,79.930,103,141,87
401890.140,5755902.040,79.930,85,125,74
401890.090,5755902.000,79.900,79,119,69
401890.320,5755902.390,79.870,116,153,100
401890.270,5755902.330,79.860,122,162,104
401890.210,5755902.270,79.860,122,164,106
401890.150,5755902.200,79.870,107,148,92
401890.090,5755902.130,79.880,89,131,82
401890.030,5755902.070,79.880,79,123,75
401890.210,5755902.410,79.820,118,156,101
401890.160,5755902.350,79.790,125,165,105
401890.100,5755902.280,79.810,115,156,99
401890.040,5755902.220,79.830,94,136,85
401889.980,5755902.150,79.830,105,145,96
401889.910,5755902.080,79.850,127,163,112
401890.150,5755902.460,79.820,113,151,97
401890.090,5755902.400,79.810,124,163,105
401890.040,5755902.370,79.750,118,157,101
401889.970,5755902.270,79.820,111,149,96
401889.910,5755902.200,79.830,124,159,110
401889.850,5755902.130,79.850,126,162,110
401890.080,5755902.510,79.840,101,136,86
401890.030,5755902.460,79.810,118,154,103
401889.970,5755902.400,79.800,124,159,107
401889.920,5755902.350,79.780,120,155,104
401889.860,5755902.280,79.790,131,165,114
401889.790,5755902.180,79.850,119,154,104
401889.970,5755902.540,79.780,111,143,92
401889.910,5755902.480,79.760,116,151,101
401889.860,5755902.420,79.760,105,142,92
401889.800,5755902.350,79.770,107,142,94
401889.730,5755902.250,79.840,101,137,89
401889.860,5755902.560,79.730,121,156,105
401889.800,5755902.500,79.730,111,150,103
401889.730,5755902.410,79.770,113,149,101
401889.670,5755902.320,79.810,118,156,106
401889.600,5755902.240,79.840,118,154,98
401889.830,5755902.620,79.840,98,132,77
401889.780,5755902.560,79.820,117,148,95
401889.740,5755902.570,79.710,120,154,105
401889.670,5755902.470,79.770,117,150,100
401889.610,5755902.400,79.780,115,151,101
401889.550,5755902.320,79.810,116,154,96
401889.710,5755902.630,79.810,103,134,78
401889.680,5755902.640,79.680,114,148,95
401889.620,5755902.570,79.680,121,154,104
401889.550,5755902.480,79.740,127,165,114
401889.490,5755902.400,79.760,136,175,116
401889.430,5755902.340,79.750,142,182,117
401889.650,5755902.700,79.790,112,147,86
401889.610,5755902.690,79.700,107,142,83
401889.560,5755902.640,79.680,120,153,95
401889.500,5755902.560,79.700,134,173,114
401889.430,5755902.470,79.740,142,182,120
401889.370,5755902.390,79.770,147,188,123
401889.550,5755902.750,79.690,90,122,65
401889.490,5755902.690,79.680,118,147,93
401889.430,5755902.620,79.700,123,159,104
401889.360,5755902.510,79.780,137,173,112
401889.300,5755902.420,79.810,149,187,125
401889.430,5755902.750,79.690,125,151,98
401889.370,5755902.690,79.670,124,156,100
401889.320,5755902.630,79.660,136,166,106
401889.260,5755902.560,79.680,145,177,121
401889.410,5755902.820,79.770,88,115,60
401889.360,5755902.780,79.730,113,138,80
401889.310,5755902.750,79.680,122,150,90
401889.250,5755902.680,79.680,118,146,85
401889.340,5755902.850,79.810,88,112,59
401889.290,5755902.810,79.770,104,126,71
401889.230,5755902.760,79.760,110,137,78
401889.260,5755902.860,79.910,93,120,69
401889.210,5755902.830,79.850,102,130,75
401889.160,5755902.780,79.830,115,146,88
401889.140,5755902.870,79.880,121,149,92
401889.080,5755902.810,79.870,127,158,99
401889.080,5755902.910,79.880,130,159,99
401889.020,5755902.860,79.860,136,166,109
401889.010,5755902.960,79.900,122,157,102
401888.960,5755902.910,79.880,120,155,101
401888.900,5755902.850,79.870,129,164,110
401888.940,5755903.010,79.920,126,164,116
401888.890,5755902.950,79.910,119,156,107
401888.830,5755902.890,79.900,113,147,94
401888.830,5755903.020,79.900,97,133,84
401888.770,5755902.950,79.900,89,121,68
401888.710,5755902.890,79.890,131,161,106
401888.660,5755902.820,79.900,141,174,121
401888.600,5755902.740,79.940,132,166,113
401888.760,5755903.070,79.900,92,128,70
401888.700,5755903.010,79.900,92,129,70
401888.650,5755902.940,79.900,111,142,83
401888.600,5755902.870,79.910,119,148,92
401888.540,5755902.800,79.940,127,156,102
401888.480,5755902.730,79.940,117,149,93
401888.740,5755903.130,80.000,106,136,78
401888.690,5755903.080,79.980,120,154,88
401888.640,5755903.050,79.920,112,148,86
401888.580,5755902.990,79.920,104,138,78
401888.530,5755902.920,79.930,113,143,84
401888.470,5755902.860,79.920,110,139,82
401888.420,5755902.800,79.920,96,128,70
401888.620,5755903.130,80.000,128,155,90
401888.570,5755903.090,79.960,107,138,78
401888.510,5755903.040,79.930,101,131,76
401888.470,5755902.980,79.930,97,126,72
401888.410,5755902.910,79.940,94,123,66
401888.340,5755902.810,80.000,100,129,70
401888.510,5755903.170,79.920,107,138,83
401888.450,5755903.100,79.930,108,137,84
401888.410,5755903.040,79.920,100,130,81
401888.340,5755902.960,79.950,95,125,72
401888.280,5755902.860,80.010,103,131,71
401888.490,5755903.210,80.050,133,166,112
401888.440,5755903.190,79.980,114,146,91
401888.390,5755903.130,79.970,108,137,83
401888.340,5755903.110,79.910,105,134,82
401888.280,5755903.000,79.970,88,117,67
401888.210,5755902.890,80.060,95,126,70
401888.420,5755903.260,80.070,123,156,102
401888.370,5755903.210,80.040,91,125,73
401888.330,5755903.190,79.970,76,106,56
401888.270,5755903.130,79.970,92,118,66
401888.210,5755903.030,80.030,107,136,87
401888.140,5755902.940,80.070,115,149,97
401888.300,5755903.270,80.030,83,118,71
401888.260,5755903.210,80.040,66,99,54
401888.200,5755903.140,80.050,91,119,69
401888.140,5755903.070,80.050,132,165,115
401888.080,5755903.000,80.070,134,171,117
401888.240,5755903.330,80.030,103,141,95
401888.190,5755903.270,80.040,94,132,89
401888.140,5755903.210,80.020,121,155,107
401888.080,5755903.160,80.010,145,182,132
401888.020,5755903.060,80.060,135,175,122
401887.960,5755903.000,80.060,135,172,121
401888.180,5755903.360,80.080,134,170,119
401888.130,5755903.310,80.070,144,178,127
401888.070,5755903.250,80.050,155,188,136
401888.020,5755903.200,80.030,139,178,125
401887.960,5755903.150,80.000,123,163,108
401887.910,5755903.120,79.950,123,158,102
401888.060,5755903.340,80.110,135,169,112
401888.010,5755903.300,80.070,137,171,111
401887.950,5755903.230,80.070,119,158,99
401887.890,5755903.190,80.040,101,141,85
401887.840,5755903.140,80.020,105,142,85
401887.780,5755903.050,80.060,134,171,110
401888.000,5755903.400,80.100,132,166,108
401887.940,5755903.350,80.080,135,170,108
401887.880,5755903.290,80.080,128,165,104
401887.830,5755903.230,80.050,132,166,107
401887.780,5755903.180,80.020,135,169,110
401887.720,5755903.140,79.990,133,168,110
401887.880,5755903.390,80.100,146,178,115
401887.820,5755903.310,80.120,135,168,109
401887.760,5755903.260,80.090,135,167,109
401887.700,5755903.200,80.090,128,160,103
401887.650,5755903.150,80.060,124,157,101
401887.640,5755903.230,80.130,123,157,104
401887.580,5755903.180,80.110,113,148,96
401887.340,5755903.300,80.090,100,133,78
401887.270,5755903.360,80.100,83,119,70
401887.270,5755903.480,80.090,108,145,91
401887.210,5755903.430,80.070,103,138,85
401887.160,5755903.370,80.070,99,129,75
401887.260,5755903.600,80.090,88,123,72
401887.210,5755903.550,80.060,101,134,77
401887.150,5755903.500,80.050,104,134,76
401887.090,5755903.430,80.060,116,142,84
401887.040,5755903.400,80.010,118,145,86
401887.260,5755903.750,80.050,94,132,82
401887.210,5755903.700,80.020,70,109,59
401887.150,5755903.660,79.990,71,105,50
401887.090,5755903.570,80.030,97,127,67
401887.030,5755903.480,80.070,102,132,71
401886.980,5755903.480,79.970,92,124,69
401887.200,5755903.840,79.990,99,135,82
401887.150,5755903.780,79.980,68,107,56
401887.090,5755903.700,80.020,75,108,57
401887.030,5755903.650,79.990,94,128,71
401886.970,5755903.590,79.990,88,125,68
401886.920,5755903.580,79.910,89,127,73
401886.860,5755903.480,79.950,87,122,72
401887.090,5755903.850,79.970,94,130,77
401887.020,5755903.760,80.010,109,140,82
401886.970,5755903.730,79.960,115,146,86
401886.920,5755903.700,79.890,109,144,84
401886.860,5755903.660,79.850,99,137,81
401886.800,5755903.580,79.880,93,129,74
401887.020,5755903.870,80.040,115,152,93
401886.960,5755903.810,80.000,117,150,90
401886.910,5755903.770,79.970,116,147,86
401886.850,5755903.740,79.910,113,146,87
401886.800,5755903.680,79.900,101,137,82
401886.740,5755903.640,79.880,92,126,70
401886.680,5755903.570,79.890,97,127,69
401886.900,5755903.920,79.930,108,143,88
401886.850,5755903.860,79.920,98,133,81
401886.790,5755903.800,79.910,89,127,73
401886.730,5755903.730,79.920,88,124,72
401886.680,5755903.680,79.900,82,116,65
401886.620,5755903.620,79.900,90,124,71
401886.840,5755903.940,79.980,99,136,81
401886.780,5755903.910,79.930,103,140,86
401886.720,5755903.840,79.930,102,138,85
401886.670,5755903.770,79.950,86,121,72
401886.610,5755903.740,79.900,70,104,59
401886.550,5755903.680,79.890,96,127,75
401886.780,5755904.030,79.920,129,165,99
401886.720,5755903.980,79.910,124,161,98
401886.660,5755903.910,79.920,120,154,97
401886.600,5755903.840,79.930,108,143,92
401886.550,5755903.790,79.900,95,132,81
401886.490,5755903.740,79.890,111,144,87
401886.710,5755904.040,80.010,121,157,89
401886.660,5755904.070,79.860,119,156,92
401886.600,5755904.000,79.870,109,144,86
401886.540,5755903.920,79.890,109,142,85
401886.490,5755903.870,79.870,116,150,90
401886.430,5755903.820,79.860,118,153,92
401886.370,5755903.750,79.860,123,160,102
401886.640,5755904.080,80.030,120,157,96
401886.590,5755904.030,80.020,118,155,91
401886.530,5755903.940,80.050,111,146,84
401886.410,5755903.800,80.080,118,150,88
401886.350,5755903.760,80.050,126,161,98
