//X,Y,Z,R,G,B
401894.720,5755903.260,79.490,138,162,95
401894.780,5755903.490,79.430,143,166,92
401894.710,5755903.400,79.470,153,177,109
401894.860,5755903.720,79.350,116,141,68
401894.780,5755903.610,79.420,134,156,78
401894.710,5755903.530,79.450,155,179,97
401894.640,5755903.450,79.490,162,187,116
401894.840,5755903.810,79.390,132,157,82
401894.770,5755903.740,79.420,136,168,87
401894.710,5755903.660,79.430,151,178,93
401894.640,5755903.580,79.470,166,190,107
401894.560,5755903.480,79.530,158,184,109
401894.960,5755904.070,79.380,100,128,51
401894.760,5755903.850,79.430,151,172,100
401894.700,5755903.780,79.440,153,180,104
401894.630,5755903.690,79.480,148,174,95
401894.560,5755903.610,79.510,155,178,100
401894.490,5755903.510,79.570,156,178,103
401894.690,5755903.890,79.460,151,176,105
401894.620,5755903.800,79.500,150,174,104
401894.540,5755903.710,79.540,147,170,100
401894.480,5755903.640,79.560,152,175,103
401894.420,5755903.550,79.600,152,177,106
401895.110,5755904.520,79.380,133,154,79
401895.060,5755904.460,79.350,125,146,70
401895.010,5755904.400,79.350,128,146,68
401894.970,5755904.360,79.300,130,151,73
401894.890,5755904.260,79.360,122,146,66
401894.800,5755904.150,79.450,124,149,68
401894.730,5755904.070,79.480,130,157,74
401894.660,5755903.980,79.510,142,172,95
401894.610,5755903.930,79.490,135,166,95
401894.550,5755903.860,79.500,136,164,94
401894.480,5755903.770,79.540,135,162,91
401894.410,5755903.700,79.570,141,167,97
401895.170,5755904.710,79.360,132,153,85
401895.100,5755904.620,79.400,126,146,78
401895.060,5755904.590,79.340,134,152,84
401895.040,5755904.590,79.240,127,144,72
401894.990,5755904.540,79.220,123,138,63
401894.910,5755904.430,79.290,118,139,61
401894.830,5755904.320,79.350,113,139,61
401894.590,5755904.030,79.530,141,173,96
401894.530,5755903.950,79.550,135,168,99
401894.470,5755903.890,79.560,132,165,98
401895.230,5755904.900,79.340,132,157,79
401895.170,5755904.830,79.360,139,160,90
401895.100,5755904.750,79.400,136,156,91
401895.000,5755904.650,79.340,134,153,83
401894.980,5755904.660,79.220,131,152,76
401894.910,5755904.580,79.240,125,148,70
401894.840,5755904.470,79.320,121,151,68
401894.760,5755904.370,79.370,128,160,77
401894.660,5755904.240,79.490,138,173,97
401894.590,5755904.150,79.520,138,173,99
401894.530,5755904.070,79.540,141,174,104
401895.280,5755905.090,79.340,136,166,88
401894.930,5755904.700,79.350,126,151,82
401894.890,5755904.670,79.300,129,154,83
401894.820,5755904.570,79.360,129,155,82
401894.760,5755904.510,79.350,131,161,82
401894.690,5755904.420,79.380,140,172,94
401894.600,5755904.300,79.480,149,185,117
401894.530,5755904.210,79.520,141,179,115
401894.850,5755904.740,79.390,139,163,98
401894.830,5755904.730,79.300,141,163,98
401894.690,5755904.540,79.390,134,163,89
401894.630,5755904.480,79.380,140,171,97
401894.780,5755904.790,79.390,126,151,86
401895.030,5755905.610,79.290,118,149,79
401894.720,5755903.210,79.500,113,143,80
401894.760,5755903.370,79.440,98,126,65
401894.710,5755903.330,79.480,95,124,61
401894.660,5755903.270,79.520,115,144,85
401894.810,5755903.550,79.390,105,135,60
401894.750,5755903.500,79.440,94,123,56
401894.700,5755903.450,79.470,102,129,66
401894.650,5755903.390,79.490,106,133,71
401894.600,5755903.330,79.510,126,153,96
401894.540,5755903.270,79.520,124,147,87
401894.850,5755903.710,79.280,125,146,76
401894.790,5755903.650,79.320,118,145,69
401894.750,5755903.630,79.440,123,154,80
401894.700,5755903.570,79.470,120,152,78
401894.640,5755903.510,79.480,127,154,84
401894.580,5755903.450,79.490,129,151,89
401894.530,5755903.390,79.500,127,150,93
401894.470,5755903.330,79.520,125,145,88
401894.420,5755903.270,79.530,107,127,66
401894.890,5755903.870,79.220,105,125,58
401894.840,5755903.820,79.270,127,145,78
401894.790,5755903.770,79.310,129,152,78
401894.740,5755903.730,79.380,126,155,79
401894.700,5755903.700,79.490,124,156,83
401894.640,5755903.650,79.530,118,152,76
401894.590,5755903.590,79.550,130,161,91
401894.530,5755903.540,79.570,133,156,91
401894.470,5755903.460,79.540,120,142,80
401894.420,5755903.400,79.560,124,143,83
401894.360,5755903.330,79.540,119,140,77
401894.290,5755903.270,79.540,103,127,69
401894.970,5755904.120,79.400,83,106,40
401894.910,5755904.040,79.360,82,108,42
401894.830,5755903.940,79.240,106,130,62
401894.780,5755903.900,79.300,131,151,79
401894.740,5755903.870,79.440,124,147,70
401894.690,5755903.820,79.480,120,150,77
401894.460,5755903.590,79.550,132,160,91
401894.410,5755903.520,79.540,112,134,67
401894.350,5755903.460,79.560,112,130,70
401894.290,5755903.400,79.550,104,127,64
401895.020,5755904.300,79.360,121,139,74
401894.960,5755904.230,79.350,107,123,58
401894.900,5755904.170,79.360,98,119,52
401894.840,5755904.100,79.340,111,136,64
401894.770,5755904.020,79.300,123,148,73
401894.720,5755903.960,79.310,121,144,71
401894.400,5755903.650,79.550,129,159,96
401895.070,5755904.470,79.350,102,120,64
401895.010,5755904.400,79.330,97,117,60
401894.950,5755904.320,79.280,107,124,66
401894.890,5755904.270,79.310,107,122,61
401894.830,5755904.210,79.330,114,135,65
401894.770,5755904.140,79.310,114,139,65
401894.710,5755904.070,79.310,118,144,68
401894.660,5755904.020,79.350,111,139,64
401894.570,5755903.970,79.550,102,135,68
401895.120,5755904.660,79.340,84,103,46
401895.060,5755904.590,79.310,77,92,44
401895.000,5755904.520,79.320,86,96,53
401894.940,5755904.460,79.320,91,102,54
401894.870,5755904.360,79.210,100,115,60
401894.820,5755904.310,79.260,112,131,64
401894.770,5755904.270,79.330,117,141,64
401894.710,5755904.200,79.320,100,128,51
401894.660,5755904.150,79.360,103,134,64
401894.610,5755904.110,79.430,111,142,78
401895.180,5755904.850,79.350,91,112,51
401895.120,5755904.790,79.370,90,114,52
401895.060,5755904.720,79.350,87,109,54
401895.000,5755904.650,79.340,80,93,47
401894.940,5755904.600,79.360,92,99,57
401894.880,5755904.530,79.360,102,111,64
401894.830,5755904.470,79.370,110,126,71
401894.780,5755904.410,79.400,115,137,71
401894.710,5755904.340,79.380,122,145,72
401894.610,5755904.250,79.500,111,144,78
401894.560,5755904.190,79.520,120,153,98
401895.110,5755904.910,79.350,108,131,68
401895.060,5755904.860,79.390,103,128,64
401895.000,5755904.790,79.380,102,125,65
401894.940,5755904.730,79.390,92,106,52
401894.820,5755904.610,79.410,105,119,67
401894.770,5755904.540,79.410,116,133,76
401894.720,5755904.490,79.450,109,128,67
401894.660,5755904.420,79.420,118,139,77
401895.050,5755904.970,79.340,110,135,74
401894.990,5755904.910,79.360,109,137,73
401894.930,5755904.850,79.370,106,133,69
401894.760,5755904.670,79.440,119,135,78
401894.710,5755904.610,79.430,121,137,77
401895.040,5755905.090,79.340,110,132,73
401894.980,5755905.030,79.340,105,131,72
401894.920,5755904.970,79.350,112,143,81
401894.860,5755904.900,79.340,116,144,82
401894.810,5755904.840,79.360,131,153,97
401894.700,5755904.730,79.430,110,129,67
401894.980,5755905.160,79.370,118,147,78
401894.920,5755905.090,79.360,115,147,80
401894.860,5755905.030,79.370,123,156,94
401894.800,5755904.960,79.350,123,149,89
401894.740,5755904.900,79.350,120,142,83
401895.480,5755905.820,79.190,140,155,89
401895.430,5755905.770,79.230,129,146,84
401895.370,5755905.700,79.230,135,153,90
401895.310,5755905.640,79.240,133,158,93
401895.040,5755905.350,79.350,115,143,72
401894.980,5755905.280,79.360,120,151,79
401894.920,5755905.220,79.380,124,156,87
401894.860,5755905.160,79.380,122,154,89
401894.800,5755905.100,79.380,114,144,82
401895.540,5755906.010,79.200,127,148,77
401895.480,5755905.950,79.190,135,157,84
401895.420,5755905.890,79.210,127,148,81
401895.360,5755905.830,79.230,117,140,80
401895.310,5755905.770,79.240,131,155,93
401895.250,5755905.710,79.260,129,156,93
401894.860,5755905.290,79.390,119,149,85
401895.600,5755906.200,79.190,124,140,73
401895.530,5755906.130,79.180,126,144,75
401895.480,5755906.080,79.210,122,142,75
401895.420,5755906.010,79.220,119,144,75
401895.360,5755905.960,79.260,112,137,73
401895.310,5755905.900,79.280,107,130,69
401895.250,5755905.840,79.290,108,133,70
401895.190,5755905.780,79.310,106,132,69
401895.600,5755906.350,79.280,120,137,74
401895.540,5755906.280,79.250,129,145,79
401895.470,5755906.200,79.210,126,146,82
401895.420,5755906.150,79.260,112,136,74
401895.360,5755906.090,79.270,92,120,58
401895.300,5755906.030,79.300,93,121,62
401895.250,5755905.970,79.310,93,120,61
401895.810,5755906.840,79.190,116,144,83
401895.760,5755906.780,79.220,106,135,74
401895.870,5755907.020,79.180,106,128,62
401895.810,5755906.950,79.180,110,134,71
401895.750,5755906.890,79.180,108,135,73
401895.690,5755906.830,79.210,86,115,56
401895.920,5755907.200,79.180,99,124,58
401895.860,5755907.140,79.190,103,125,66
401895.800,5755907.080,79.200,114,135,73
401895.740,5755907.010,79.180,105,128,64
401895.680,5755906.940,79.170,89,116,57
401895.620,5755906.880,79.190,98,127,72
401895.570,5755906.830,79.240,108,135,80
401895.860,5755907.270,79.210,91,113,52
401895.800,5755907.210,79.200,109,130,70
401895.740,5755907.140,79.220,119,143,79
401895.680,5755907.070,79.180,116,140,76
401895.610,5755907.000,79.160,110,137,79
401895.550,5755906.940,79.160,116,143,84
401896.020,5755907.560,79.060,128,149,78
401895.970,5755907.510,79.130,116,138,67
401895.920,5755907.460,79.200,113,135,67
401895.800,5755907.340,79.220,117,140,74
401895.730,5755907.270,79.200,122,146,77
401895.680,5755907.210,79.220,112,140,70
401895.610,5755907.130,79.190,109,137,68
401895.550,5755907.060,79.140,109,135,70
401895.490,5755907.000,79.160,108,132,70
401895.430,5755906.940,79.190,101,124,65
401895.370,5755906.870,79.150,91,112,57
401895.320,5755906.810,79.170,83,104,50
401896.070,5755907.760,79.090,124,152,78
401896.010,5755907.700,79.110,132,157,86
401895.960,5755907.640,79.130,127,152,78
401895.910,5755907.590,79.210,113,138,66
401895.850,5755907.520,79.220,110,134,67
401895.670,5755907.330,79.220,121,146,76
401895.610,5755907.260,79.190,108,136,66
401895.540,5755907.190,79.170,109,137,67
401895.480,5755907.120,79.120,108,135,65
401895.410,5755907.040,79.090,104,131,67
401896.120,5755907.940,79.020,109,138,66
401896.060,5755907.880,79.060,119,146,73
401896.010,5755907.830,79.130,125,150,76
401895.950,5755907.770,79.150,122,146,79
401895.910,5755907.710,79.210,112,139,72
401895.610,5755907.390,79.230,95,122,58
401895.550,5755907.330,79.220,89,115,51
401895.490,5755907.260,79.210,98,125,56
401896.180,5755908.140,79.080,121,145,76
401896.110,5755908.070,79.030,119,144,73
401896.050,5755908.000,79.050,121,143,75
401896.010,5755907.960,79.150,120,144,75
401895.950,5755907.900,79.190,125,149,77
401895.890,5755907.830,79.170,118,142,76
401895.840,5755907.770,79.210,108,135,72
401895.780,5755907.710,79.210,109,135,67
401895.720,5755907.650,79.220,110,130,69
401895.660,5755907.580,79.220,94,116,59
401895.600,5755907.510,79.220,75,103,45
401896.250,5755908.350,79.170,102,123,60
401896.180,5755908.270,79.100,112,135,65
401896.110,5755908.200,79.060,132,152,82
401896.050,5755908.130,79.050,129,148,81
401895.990,5755908.070,79.060,116,138,70
401895.940,5755908.020,79.150,120,144,76
401895.890,5755907.960,79.190,119,145,76
401895.830,5755907.900,79.200,108,136,66
401895.780,5755907.830,79.210,102,133,66
401895.720,5755907.770,79.200,95,126,61
401895.660,5755907.710,79.220,89,116,56
401895.600,5755907.640,79.190,72,97,44
401895.540,5755907.570,79.210,72,99,47
401896.300,5755908.530,79.160,118,139,77
401896.250,5755908.480,79.230,117,138,75
