//X,Y,Z,R,G,B
401916.960,5755788.320,81.070,93,96,98
401916.900,5755788.270,81.070,92,97,99
401916.830,5755788.210,81.070,88,91,92
401916.770,5755788.150,81.070,88,88,90
401916.710,5755788.090,81.080,86,88,89
401916.640,5755788.040,81.070,86,88,90
401916.580,5755787.980,81.070,78,82,87
401916.520,5755787.930,81.070,74,78,81
401916.450,5755787.880,81.060,77,81,79
401916.390,5755787.810,81.070,88,89,87
401916.970,5755788.410,81.120,74,76,70
401916.910,5755788.370,81.100,85,89,88
401916.840,5755788.320,81.080,87,91,88
401916.780,5755788.270,81.080,84,85,82
401916.720,5755788.210,81.090,84,84,81
401916.650,5755788.160,81.070,87,88,85
401916.580,5755788.110,81.060,88,91,88
401916.520,5755788.050,81.070,84,87,85
401916.460,5755788.000,81.060,76,80,75
401916.390,5755787.940,81.050,81,83,77
401916.330,5755787.890,81.050,87,90,84
401916.270,5755787.830,81.050,74,77,68
401916.210,5755787.770,81.060,81,83,73
401916.150,5755787.700,81.090,76,81,67
401916.090,5755787.630,81.110,72,78,59
401916.030,5755787.580,81.090,67,73,51
401916.920,5755788.440,81.190,60,71,58
401916.860,5755788.400,81.160,72,80,72
401916.790,5755788.360,81.130,74,81,72
401916.730,5755788.290,81.150,78,80,72
401916.660,5755788.260,81.100,82,84,74
401916.590,5755788.220,81.070,80,85,70
401916.530,5755788.170,81.070,77,84,70
401916.460,5755788.120,81.060,79,84,71
401916.400,5755788.060,81.050,73,78,64
401916.340,5755788.010,81.050,73,79,65
401916.270,5755787.950,81.050,65,74,59
401916.210,5755787.880,81.050,64,73,57
401916.160,5755787.820,81.060,72,79,60
401916.100,5755787.760,81.080,74,81,58
401916.040,5755787.680,81.140,69,80,52
401915.980,5755787.620,81.140,63,74,44
401916.810,5755788.440,81.200,66,80,69
401916.740,5755788.390,81.190,64,75,60
401916.680,5755788.350,81.170,63,69,57
401916.610,5755788.300,81.150,64,69,58
401916.540,5755788.260,81.120,62,71,55
401916.480,5755788.210,81.100,62,73,54
401916.410,5755788.160,81.080,65,74,56
401916.340,5755788.120,81.060,67,74,57
401916.280,5755788.060,81.050,66,74,56
401916.220,5755788.000,81.060,58,71,50
401916.160,5755787.930,81.080,56,68,46
401916.110,5755787.860,81.100,59,71,46
401916.050,5755787.790,81.150,65,77,48
401915.990,5755787.710,81.190,64,77,46
401916.680,5755788.460,81.180,58,77,72
401916.620,5755788.410,81.160,49,63,58
401916.550,5755788.360,81.150,50,62,55
401916.490,5755788.310,81.110,52,64,52
401916.420,5755788.250,81.130,54,67,50
401916.360,5755788.200,81.130,58,69,51
401916.290,5755788.150,81.120,63,73,53
401916.230,5755788.090,81.120,60,71,48
401916.170,5755788.040,81.110,57,71,46
401916.100,5755787.980,81.100,53,67,41
401916.360,5755788.350,81.070,60,72,63
401916.300,5755788.260,81.120,64,72,59
401916.240,5755788.200,81.140,64,75,54
401916.180,5755788.140,81.140,57,71,46
401916.120,5755788.070,81.160,53,68,43
401916.010,5755787.930,81.210,52,69,40
401915.950,5755787.850,81.270,58,72,43
401915.840,5755787.850,81.280,58,73,45
401915.780,5755787.920,81.260,53,70,45
401917.780,5755788.890,81.150,54,75,91
401917.670,5755788.860,81.200,54,77,93
401917.970,5755789.030,81.050,46,63,69
401917.900,5755788.990,81.040,39,55,61
401917.810,5755788.950,81.060,47,63,68
401917.730,5755788.920,81.070,47,64,69
401917.660,5755788.880,81.070,38,53,60
401917.560,5755788.840,81.090,36,53,59
401917.470,5755788.810,81.100,40,58,62
401917.400,5755788.770,81.100,42,64,65
401917.300,5755788.740,81.120,42,66,67
401917.210,5755788.710,81.140,41,62,65
401917.030,5755788.640,81.190,44,68,73
401916.920,5755788.610,81.230,43,70,74
401918.560,5755789.500,81.230,29,43,38
401918.320,5755789.290,81.050,49,61,67
401918.250,5755789.250,81.040,36,51,56
401918.190,5755789.210,81.020,39,54,59
401918.110,5755789.170,81.010,49,63,68
401918.030,5755789.140,81.020,50,63,65
401917.910,5755789.110,81.090,48,61,61
401917.850,5755789.070,81.060,45,60,57
401917.790,5755789.030,81.030,47,64,61
401917.740,5755788.980,81.010,43,61,56
401917.520,5755788.980,81.190,35,52,49
401917.490,5755788.930,81.130,35,51,48
401917.450,5755788.880,81.090,40,57,51
401917.400,5755788.840,81.050,39,58,48
401917.290,5755788.810,81.090,34,54,42
401917.210,5755788.780,81.100,28,47,38
401917.110,5755788.740,81.120,27,46,38
401917.050,5755788.700,81.100,24,45,38
401916.950,5755788.670,81.140,23,45,39
401916.780,5755788.600,81.160,29,50,46
401916.720,5755788.560,81.140,35,57,56
401916.650,5755788.520,81.130,31,54,56
401916.560,5755788.480,81.140,35,59,62
401916.470,5755788.440,81.150,42,66,73
401918.990,5755789.810,81.220,27,44,36
401918.880,5755789.770,81.260,26,44,34
401918.780,5755789.740,81.290,22,41,30
401918.540,5755789.580,81.220,23,39,31
401918.400,5755789.390,81.000,58,71,70
401918.320,5755789.360,81.000,56,71,73
401918.220,5755789.320,81.020,39,55,55
401918.070,5755789.300,81.120,42,56,57
401918.050,5755789.250,81.040,51,65,65
401917.970,5755789.220,81.050,50,63,61
401917.860,5755789.190,81.100,50,62,57
401917.810,5755789.140,81.060,48,62,55
401917.730,5755789.110,81.070,42,58,49
401917.650,5755789.070,81.070,36,53,43
401917.590,5755789.030,81.060,32,50,40
401917.510,5755788.990,81.060,31,49,38
401917.350,5755788.920,81.060,35,53,41
401917.290,5755788.880,81.040,31,50,37
401917.080,5755788.880,81.220,32,50,38
401916.760,5755788.660,81.140,20,37,29
401916.710,5755788.620,81.100,23,41,34
401916.640,5755788.580,81.090,20,38,32
401916.580,5755788.540,81.060,20,38,32
401919.210,5755790.050,81.270,24,41,31
401919.200,5755790.000,81.200,22,38,29
401919.100,5755789.960,81.220,18,35,25
401919.060,5755789.910,81.180,23,40,30
401918.970,5755789.870,81.190,30,47,37
401918.900,5755789.840,81.190,29,46,36
401918.790,5755789.810,81.230,25,43,33
401918.700,5755789.770,81.250,19,38,28
401918.600,5755789.740,81.280,19,37,27
401918.470,5755789.660,81.250,21,38,27
401918.430,5755789.620,81.200,28,46,35
401918.470,5755789.560,81.060,35,53,42
401918.310,5755789.540,81.160,38,55,45
401918.210,5755789.500,81.180,48,66,57
401918.130,5755789.470,81.190,40,59,53
401918.060,5755789.430,81.190,38,54,50
401918.020,5755789.380,81.140,44,57,54
