//X,Y,Z,R,G,B
401908.010,5755894.180,79.210,114,149,51
401907.910,5755894.060,79.190,111,151,60
401907.910,5755894.190,79.170,103,141,51
401907.900,5755894.140,79.110,99,136,44
401907.860,5755894.080,79.100,104,141,49
401907.940,5755894.320,79.140,107,148,66
401907.910,5755894.250,79.100,99,134,48
401907.850,5755894.190,79.090,100,134,45
401907.810,5755894.130,79.080,102,140,50
401907.770,5755894.070,79.060,95,135,49
401907.810,5755894.260,79.060,120,160,68
401907.750,5755894.190,79.070,107,150,55
401907.700,5755894.130,79.060,97,138,52
401907.780,5755894.370,79.090,108,144,61
401907.770,5755894.330,79.030,119,161,70
401907.710,5755894.260,79.030,104,151,57
401907.650,5755894.200,79.040,94,136,51
401907.570,5755894.120,79.060,87,125,47
401907.680,5755894.380,79.060,97,138,53
401907.620,5755894.310,79.060,84,131,49
401907.580,5755894.250,79.040,76,120,46
401907.510,5755894.180,79.060,76,115,44
401907.470,5755894.120,79.040,77,110,43
401907.620,5755894.440,79.050,86,126,45
401907.610,5755894.390,78.990,73,119,40
401907.540,5755894.320,79.010,63,104,39
401907.490,5755894.260,79.000,58,92,33
401907.450,5755894.200,78.970,61,91,32
401907.410,5755894.140,78.960,89,116,51
401907.560,5755894.500,79.050,83,121,48
401907.530,5755894.450,79.000,68,107,36
401907.500,5755894.390,78.980,67,103,37
401907.480,5755894.340,78.930,61,95,35
401907.410,5755894.270,78.940,61,92,34
401907.350,5755894.210,78.940,74,103,39
401907.330,5755894.150,78.900,95,129,54
401907.430,5755894.450,78.980,90,126,53
401907.400,5755894.390,78.950,75,112,41
401907.320,5755894.320,78.980,69,104,38
401907.280,5755894.260,78.940,80,113,42
401907.270,5755894.210,78.890,100,137,56
401907.250,5755894.160,78.840,114,155,61
401907.400,5755894.560,79.010,95,128,51
401907.360,5755894.510,78.970,104,139,65
401907.290,5755894.440,79.000,90,128,54
401907.270,5755894.390,78.950,78,116,42
401907.230,5755894.330,78.920,85,121,43
401907.210,5755894.280,78.880,109,145,61
401907.190,5755894.220,78.830,127,168,68
401907.080,5755894.140,78.900,120,165,63
401907.290,5755894.560,78.990,104,140,64
401907.300,5755894.530,78.900,101,140,65
401907.250,5755894.460,78.890,95,136,53
401907.210,5755894.410,78.860,111,147,63
401907.180,5755894.350,78.830,131,168,77
401907.130,5755894.280,78.820,137,180,76
401907.020,5755894.200,78.890,123,167,64
401906.950,5755894.130,78.910,109,153,62
401907.230,5755894.580,78.910,110,145,65
401907.180,5755894.520,78.900,111,148,61
401907.120,5755894.460,78.890,127,164,73
401907.080,5755894.400,78.870,139,180,82
401907.040,5755894.340,78.850,134,176,75
401906.980,5755894.270,78.860,116,158,61
401906.950,5755894.220,78.810,84,129,39
401906.900,5755894.150,78.800,66,115,31
401907.100,5755894.580,78.910,128,163,73
401907.020,5755894.500,78.950,130,169,73
401907.010,5755894.450,78.890,127,169,71
401906.960,5755894.390,78.880,109,150,59
401906.910,5755894.330,78.860,92,133,47
401906.860,5755894.270,78.850,67,112,31
401906.810,5755894.210,78.830,61,106,27
401906.770,5755894.150,78.800,67,112,27
401906.970,5755894.560,78.920,124,161,67
401906.940,5755894.500,78.900,128,167,75
401906.890,5755894.440,78.880,96,138,55
401906.850,5755894.380,78.860,69,114,35
401906.800,5755894.320,78.840,63,106,31
401906.750,5755894.260,78.830,74,115,31
