//X,Y,Z,R,G,B
401827.420,5755901.330,79.870,130,133,74
401827.360,5755901.270,79.870,124,135,72
401827.310,5755901.200,79.850,121,138,75
401827.260,5755901.130,79.840,121,140,80
401827.210,5755901.060,79.810,130,145,86
401827.160,5755901.000,79.820,126,141,82
401827.100,5755900.940,79.820,110,126,68
401827.020,5755900.880,79.840,113,123,67
401826.950,5755900.820,79.850,124,131,77
401826.890,5755900.760,79.860,144,147,94
401826.830,5755900.700,79.860,154,157,108
401826.760,5755900.640,79.880,138,150,97
401826.680,5755900.590,79.910,121,142,86
401826.600,5755900.540,79.950,123,145,92
401826.530,5755900.480,79.960,122,140,88
401826.430,5755900.440,80.030,109,122,71
401826.380,5755900.380,80.040,93,106,54
401826.330,5755900.310,80.020,91,106,58
401827.260,5755901.260,79.840,101,122,63
401827.210,5755901.190,79.810,110,131,71
401827.160,5755901.120,79.790,123,141,80
401827.100,5755901.060,79.820,123,137,77
401827.010,5755901.010,79.860,124,136,74
401826.950,5755900.950,79.860,133,144,80
401826.880,5755900.900,79.890,146,156,95
401826.820,5755900.830,79.880,143,155,100
401826.760,5755900.770,79.870,129,143,90
401826.670,5755900.720,79.920,126,140,85
401826.600,5755900.660,79.940,114,132,72
401826.510,5755900.610,79.990,110,133,76
401826.430,5755900.560,80.030,101,122,67
401826.380,5755900.500,80.030,102,114,64
401826.060,5755900.200,80.070,106,124,72
401825.930,5755900.080,80.080,79,101,49
401827.040,5755901.120,79.800,126,142,78
401826.910,5755901.090,79.930,131,145,81
401826.850,5755901.030,79.930,127,143,81
401826.790,5755900.970,79.940,124,142,84
401826.750,5755900.890,79.890,113,133,79
401826.690,5755900.830,79.880,109,129,74
401826.620,5755900.770,79.890,113,132,75
401826.510,5755900.740,80.000,112,128,70
401826.430,5755900.690,80.050,111,128,69
401826.040,5755900.240,80.000,112,132,85
401825.960,5755900.180,80.030,99,118,67
401825.900,5755900.120,80.030,92,105,57
401825.840,5755900.060,80.020,106,116,71
401826.500,5755900.860,80.010,98,117,61
401825.940,5755900.320,80.070,82,105,58
401825.870,5755900.260,80.080,79,103,55
401825.800,5755900.200,80.090,93,105,63
401825.740,5755900.140,80.090,106,115,71
401825.850,5755900.400,80.120,69,88,42
401825.790,5755900.330,80.120,75,93,46
401825.610,5755900.150,80.120,103,115,60
401825.550,5755900.070,80.110,114,125,74
401825.910,5755900.470,79.990,68,80,47
401825.820,5755900.430,80.070,82,96,49
401825.750,5755900.370,80.080,113,124,69
401825.680,5755900.320,80.100,115,125,72
401825.610,5755900.260,80.110,112,123,67
401825.550,5755900.200,80.120,126,139,83
401825.490,5755900.130,80.110,129,144,92
401825.430,5755900.070,80.110,118,132,83
401825.360,5755900.020,80.140,111,126,72
401825.590,5755900.390,80.160,124,136,82
401825.530,5755900.330,80.150,121,135,78
401825.470,5755900.270,80.150,123,141,82
401825.410,5755900.210,80.150,123,142,84
401825.350,5755900.140,80.150,118,134,77
401851.370,5755913.080,80.380,31,65,47
401851.320,5755913.010,80.420,28,61,44
401851.240,5755912.960,80.350,27,59,44
