//X,Y,Z,R,G,B
401807.470,5755946.790,79.630,169,177,96
401807.530,5755946.890,79.580,168,177,97
401807.530,5755946.740,79.610,156,165,85
401807.590,5755946.840,79.560,163,176,87
401807.640,5755946.930,79.500,191,196,108
401807.580,5755946.700,79.570,153,160,79
401807.640,5755946.790,79.530,178,186,97
401807.700,5755946.880,79.490,199,202,114
401807.770,5755946.930,79.510,182,180,95
401807.840,5755946.970,79.530,160,159,78
401807.910,5755947.000,79.570,140,144,65
401807.650,5755946.640,79.570,161,165,81
401807.700,5755946.720,79.530,187,189,104
401807.760,5755946.810,79.500,197,196,113
401807.830,5755946.860,79.520,178,177,93
401807.900,5755946.900,79.540,150,153,73
401807.970,5755946.940,79.570,146,149,72
401807.710,5755946.570,79.570,183,182,96
401807.770,5755946.660,79.520,197,193,110
401807.830,5755946.740,79.510,198,191,111
401807.890,5755946.780,79.530,172,167,89
401807.960,5755946.830,79.550,143,141,68
401808.030,5755946.870,79.580,161,157,85
401807.700,5755946.460,79.550,183,185,98
401807.770,5755946.520,79.550,194,193,109
401807.830,5755946.600,79.530,205,200,121
401807.890,5755946.660,79.530,206,197,123
401807.960,5755946.710,79.540,185,176,103
401808.020,5755946.760,79.560,167,163,86
401808.090,5755946.810,79.570,181,169,98
401808.330,5755947.070,79.550,151,161,88
401808.580,5755947.380,79.440,124,134,65
401808.650,5755947.420,79.480,121,137,62
401808.720,5755947.450,79.530,126,147,65
401807.890,5755946.540,79.520,199,195,119
401807.950,5755946.590,79.530,201,196,121
401808.010,5755946.680,79.490,183,182,105
401808.080,5755946.740,79.500,170,176,88
401808.580,5755947.240,79.460,121,126,62
401808.650,5755947.280,79.520,119,129,58
401808.070,5755946.640,79.440,169,172,89
401808.650,5755947.140,79.540,137,135,68
401809.400,5755947.770,79.500,197,195,104
401809.160,5755947.360,79.570,161,179,79
401809.220,5755947.430,79.560,168,179,81
401809.290,5755947.480,79.570,163,173,82
401809.400,5755947.620,79.530,184,192,98
401809.460,5755947.740,79.450,203,205,110
401809.280,5755947.400,79.510,175,181,87
401809.390,5755947.550,79.460,184,192,100
401809.460,5755947.610,79.450,192,200,105
401809.520,5755947.710,79.390,190,193,102
401809.580,5755947.790,79.360,172,172,87
401809.640,5755947.870,79.330,154,158,71
401809.710,5755947.910,79.370,159,168,74
401809.780,5755947.910,79.450,145,156,62
401809.850,5755947.960,79.480,134,149,58
401809.910,5755948.000,79.510,135,151,63
401809.450,5755947.520,79.410,182,194,103
401809.510,5755947.590,79.390,191,199,110
401809.580,5755947.670,79.350,183,187,102
401809.640,5755947.730,79.350,162,164,79
401809.710,5755947.770,79.380,140,146,61
401809.770,5755947.820,79.400,149,156,68
401809.840,5755947.870,79.410,155,162,73
401809.910,5755947.900,79.470,149,158,70
401809.970,5755947.940,79.500,143,156,72
401810.030,5755948.020,79.470,154,166,86
401810.100,5755948.070,79.500,152,162,82
401809.440,5755947.420,79.350,156,171,77
401809.510,5755947.490,79.340,159,178,84
401809.570,5755947.550,79.350,162,177,86
401809.640,5755947.600,79.360,160,170,83
401809.700,5755947.660,79.360,157,165,80
401809.770,5755947.710,79.390,145,153,72
401809.840,5755947.750,79.410,148,155,77
401809.900,5755947.830,79.390,157,166,86
401809.970,5755947.850,79.440,142,155,72
401810.030,5755947.870,79.520,129,146,64
401810.100,5755947.950,79.490,151,166,88
401810.160,5755947.980,79.530,150,166,85
401810.230,5755948.040,79.530,146,171,81
401810.280,5755948.120,79.510,155,179,95
401810.350,5755948.150,79.550,134,154,80
401809.570,5755947.420,79.360,150,170,73
401809.640,5755947.470,79.380,149,165,73
401809.700,5755947.510,79.390,150,165,74
401809.770,5755947.590,79.360,142,160,71
401809.830,5755947.640,79.380,139,157,73
401809.900,5755947.700,79.390,146,159,78
401809.960,5755947.760,79.390,144,157,79
401810.030,5755947.780,79.450,127,143,63
401810.100,5755947.800,79.520,127,145,62
401810.160,5755947.860,79.520,137,151,68
401810.220,5755947.910,79.540,138,155,72
401810.290,5755947.990,79.520,144,169,82
401810.340,5755948.060,79.510,157,182,98
401810.410,5755948.100,79.530,141,164,89
401810.470,5755948.140,79.560,129,156,87
401809.830,5755947.500,79.410,148,169,81
401809.890,5755947.560,79.410,143,166,79
401809.960,5755947.610,79.440,132,150,64
401810.030,5755947.630,79.490,122,141,62
401810.090,5755947.720,79.450,116,136,60
401810.160,5755947.730,79.530,124,144,68
401810.220,5755947.790,79.530,135,151,71
401810.290,5755947.830,79.560,135,150,66
401810.350,5755947.910,79.530,141,159,76
401810.400,5755947.990,79.500,153,173,91
401810.470,5755948.050,79.510,137,158,79
401810.530,5755948.090,79.540,113,138,62
401810.600,5755948.140,79.560,125,148,70
401810.730,5755948.260,79.550,164,161,86
401810.790,5755948.370,79.480,154,163,85
401809.950,5755947.500,79.400,142,163,77
401810.020,5755947.550,79.420,124,145,60
401810.090,5755947.610,79.430,102,122,47
401810.150,5755947.650,79.450,89,107,39
401810.220,5755947.680,79.510,102,122,52
401810.280,5755947.720,79.550,127,149,75
401810.350,5755947.760,79.590,140,157,76
401810.410,5755947.850,79.540,140,155,73
401810.460,5755947.920,79.510,152,167,87
401810.530,5755947.970,79.530,143,156,79
401810.590,5755948.040,79.520,112,132,57
401810.660,5755948.090,79.550,128,147,69
401810.720,5755948.130,79.580,164,170,91
401810.790,5755948.210,79.550,176,178,94
401810.850,5755948.310,79.490,165,178,93
401810.910,5755948.380,79.460,167,188,106
401810.970,5755948.490,79.380,180,197,115
401810.470,5755947.770,79.570,139,152,69
401810.540,5755947.840,79.560,154,166,83
401810.590,5755947.890,79.580,153,164,80
401810.650,5755947.980,79.530,126,139,64
401810.720,5755948.020,79.570,141,153,80
401810.780,5755948.070,79.580,174,180,98
401810.850,5755948.130,79.590,182,189,102
401810.910,5755948.230,79.510,171,189,101
401810.970,5755948.310,79.480,164,188,105
401811.040,5755948.430,79.390,171,188,109
401811.100,5755948.540,79.310,177,182,99
401811.160,5755948.580,79.330,138,149,66
401811.290,5755948.620,79.480,124,139,66
401810.720,5755947.880,79.580,148,158,78
401810.780,5755947.930,79.600,155,164,87
401810.850,5755948.000,79.580,176,181,99
401810.910,5755948.100,79.530,174,181,96
401810.970,5755948.190,79.480,154,169,87
401811.040,5755948.260,79.450,139,161,80
401811.100,5755948.380,79.370,155,172,92
401811.160,5755948.480,79.310,165,170,93
401811.230,5755948.510,79.350,131,136,64
401811.290,5755948.530,79.420,120,133,63
401811.360,5755948.540,79.500,131,146,69
401811.420,5755948.540,79.590,138,153,71
401810.970,5755948.060,79.490,168,174,95
401811.030,5755948.130,79.470,148,159,83
401811.100,5755948.200,79.450,120,141,66
401811.160,5755948.320,79.370,133,152,73
401811.220,5755948.390,79.350,136,145,74
401811.290,5755948.440,79.370,124,129,63
401811.350,5755948.470,79.420,117,129,63
401811.420,5755948.470,79.500,132,152,75
401811.470,5755948.520,79.530,136,159,62
401811.860,5755948.870,79.550,105,127,48
401811.980,5755948.960,79.580,126,152,69
401811.030,5755948.010,79.470,161,168,90
401811.090,5755948.050,79.500,135,150,78
401811.160,5755948.130,79.470,106,127,60
401811.220,5755948.250,79.370,115,135,64
