//X,Y,Z,R,G,B
401928.890,5755837.350,79.760,117,144,85
401928.830,5755837.290,79.770,92,127,62
401928.790,5755837.190,79.710,82,117,54
401928.720,5755837.130,79.730,86,119,59
401928.660,5755837.090,79.770,82,113,57
401928.600,5755837.030,79.780,80,116,63
401928.760,5755837.370,79.810,100,132,69
401928.700,5755837.290,79.780,94,125,66
401928.650,5755837.210,79.770,96,129,72
401928.590,5755837.150,79.780,102,131,78
401928.530,5755837.100,79.790,86,119,63
401928.470,5755837.040,79.810,73,112,54
401928.700,5755837.400,79.770,90,125,69
401928.640,5755837.330,79.750,98,130,76
401928.590,5755837.260,79.740,86,125,72
401928.530,5755837.200,79.760,95,128,75
401928.460,5755837.150,79.780,81,115,60
401928.410,5755837.090,79.790,70,110,54
401928.630,5755837.470,79.790,69,101,51
401928.580,5755837.390,79.760,67,100,52
401928.520,5755837.330,79.770,71,104,54
401928.460,5755837.260,79.770,88,121,65
401928.350,5755837.140,79.780,56,95,43
401928.570,5755837.510,79.750,59,92,45
401928.530,5755837.410,79.690,61,93,47
401928.470,5755837.330,79.670,77,106,55
401928.410,5755837.280,79.690,85,119,59
401928.340,5755837.230,79.730,58,92,40
401928.290,5755837.170,79.740,52,87,40
401928.450,5755837.480,79.710,73,105,54
401928.410,5755837.390,79.660,77,110,59
401928.350,5755837.310,79.650,71,107,48
401928.290,5755837.270,79.690,47,80,32
401928.240,5755837.200,79.680,61,95,46
401928.410,5755837.500,79.640,77,109,52
401928.350,5755837.420,79.620,67,100,49
401928.290,5755837.360,79.620,63,99,43
401928.230,5755837.290,79.620,48,80,32
401928.180,5755837.230,79.630,49,82,36
401928.400,5755837.600,79.610,100,132,68
401928.350,5755837.520,79.600,80,108,45
401928.290,5755837.450,79.590,67,95,41
401928.230,5755837.390,79.600,45,75,32
401928.170,5755837.330,79.600,45,76,32
401928.120,5755837.280,79.630,46,76,32
401928.290,5755837.560,79.560,105,130,54
401928.230,5755837.500,79.570,78,103,42
401928.170,5755837.440,79.570,43,70,28
401928.110,5755837.380,79.590,68,97,41
401928.050,5755837.330,79.630,71,97,38
401927.990,5755837.280,79.650,46,73,31
401928.220,5755837.630,79.580,129,153,68
401928.160,5755837.570,79.580,95,118,45
401928.100,5755837.500,79.580,73,99,41
401928.040,5755837.430,79.580,119,147,73
401928.000,5755837.370,79.580,108,131,56
401927.940,5755837.300,79.590,54,79,28
401928.140,5755837.720,79.630,126,153,69
401928.090,5755837.650,79.620,111,139,56
401928.030,5755837.580,79.620,107,137,60
401927.980,5755837.500,79.590,128,159,78
401927.940,5755837.410,79.550,112,140,62
401927.880,5755837.330,79.530,61,89,31
401927.910,5755837.550,79.580,112,148,62
401927.870,5755837.470,79.560,109,140,57
401927.820,5755837.390,79.520,69,99,34
401927.960,5755837.750,79.590,75,114,47
401927.900,5755837.680,79.590,91,130,52
401927.860,5755837.580,79.520,108,144,60
401927.810,5755837.510,79.520,101,135,55
401927.760,5755837.410,79.450,80,111,47
401927.840,5755837.720,79.560,87,124,53
401927.790,5755837.640,79.540,106,141,64
401927.750,5755837.550,79.480,92,127,55
401927.710,5755837.430,79.390,87,120,55
401927.730,5755837.680,79.500,101,133,61
401927.670,5755837.640,79.540,80,116,49
401927.630,5755837.520,79.440,80,113,48
401927.610,5755837.680,79.510,70,100,39
401927.560,5755837.580,79.460,72,102,39
401927.550,5755837.720,79.480,82,111,47
401927.530,5755837.540,79.260,73,105,37
401927.370,5755837.630,79.450,85,115,42
401927.480,5755837.850,79.390,77,107,44
401927.380,5755837.700,79.350,84,110,39
401927.420,5755837.890,79.360,63,90,31
401927.370,5755837.810,79.320,72,101,34
401927.320,5755837.730,79.300,97,121,46
