//X,Y,Z,R,G,B
401921.100,5755816.830,78.680,179,201,117
401920.440,5755817.140,78.820,164,188,104
401920.440,5755817.010,78.880,177,200,118
401920.470,5755816.890,78.920,185,203,129
401920.860,5755816.850,78.680,190,208,137
401920.960,5755816.750,78.660,211,222,156
401920.310,5755817.190,78.720,171,201,110
401920.380,5755817.080,78.730,171,198,109
401920.440,5755816.960,78.740,183,201,124
401920.480,5755816.840,78.770,188,202,132
401920.640,5755816.750,78.710,214,221,158
401920.210,5755817.130,78.660,189,218,119
401920.270,5755817.010,78.680,185,208,120
401920.310,5755816.890,78.710,197,212,138
401920.470,5755816.800,78.640,199,211,144
401920.080,5755817.180,78.570,196,226,114
401920.090,5755817.050,78.620,196,227,119
401920.170,5755816.940,78.620,196,218,128
401920.260,5755816.830,78.620,199,215,138
401920.400,5755816.730,78.560,207,212,152
401919.880,5755817.210,78.530,203,230,125
401919.900,5755817.090,78.580,199,230,123
401920.020,5755816.990,78.540,185,215,112
401920.090,5755816.870,78.540,183,208,118
401920.170,5755816.760,78.550,205,220,143
401919.680,5755817.120,78.550,201,227,126
401919.810,5755817.020,78.510,199,230,124
401919.950,5755816.920,78.460,191,222,118
401920.020,5755816.810,78.460,199,225,131
401919.700,5755817.210,78.330,213,236,148
401919.620,5755817.060,78.460,206,231,133
401919.730,5755816.950,78.440,201,229,125
401919.820,5755816.850,78.430,198,225,124
401919.880,5755816.730,78.440,205,228,138
401919.440,5755817.230,78.340,197,220,136
401919.520,5755817.120,78.340,204,227,144
401919.580,5755817.000,78.350,208,229,135
401919.640,5755816.890,78.370,207,230,130
401919.720,5755816.780,78.360,198,220,127
401919.280,5755817.140,78.330,206,229,141
401919.380,5755817.040,78.310,208,229,146
401919.470,5755816.930,78.300,218,236,152
401919.530,5755816.810,78.320,212,231,143
401919.090,5755817.180,78.280,210,232,143
401919.160,5755817.070,78.290,222,243,158
401919.230,5755816.960,78.300,219,238,157
401919.270,5755816.840,78.330,216,235,155
401918.920,5755817.230,78.220,218,236,146
401918.960,5755817.110,78.250,216,238,147
401919.020,5755816.990,78.260,219,240,157
401919.100,5755816.880,78.260,218,238,161
401919.200,5755816.770,78.250,222,237,161
401918.800,5755817.150,78.180,218,238,147
401918.840,5755817.030,78.210,208,231,138
401918.890,5755816.910,78.230,206,228,142
401918.950,5755816.800,78.240,216,234,158
401918.680,5755817.210,78.070,220,234,156
401918.710,5755817.080,78.110,211,227,144
401918.740,5755816.960,78.150,202,223,134
401918.790,5755816.840,78.170,204,223,140
401918.510,5755817.250,78.000,220,226,161
401918.580,5755817.140,78.010,221,226,163
401918.610,5755817.020,78.050,210,216,152
401918.660,5755816.900,78.070,205,221,144
401918.690,5755816.770,78.120,216,231,156
401918.460,5755817.190,77.900,217,211,166
401918.410,5755817.050,78.010,217,211,165
401918.460,5755816.930,78.030,212,208,159
401918.500,5755816.810,78.070,206,212,153
401918.260,5755817.230,77.860,224,220,166
401918.330,5755817.120,77.870,218,211,162
401918.270,5755816.970,77.980,223,215,165
401918.290,5755816.840,78.040,217,209,163
401918.020,5755817.250,77.860,234,237,169
401918.070,5755817.140,77.880,228,227,166
401918.130,5755817.020,77.900,225,222,161
401918.110,5755816.880,77.980,228,224,163
401917.770,5755817.280,77.860,223,225,165
401917.830,5755817.160,77.880,223,223,164
401917.900,5755817.050,77.880,224,223,164
401917.980,5755816.940,77.890,231,231,166
401917.990,5755816.810,77.940,235,236,170
401917.490,5755817.290,77.890,230,244,169
401917.550,5755817.180,77.910,231,243,171
401917.620,5755817.060,77.910,228,236,167
401917.700,5755816.950,77.920,229,234,166
401917.770,5755816.840,77.920,233,237,169
401917.350,5755817.210,77.870,211,229,157
401917.420,5755817.100,77.870,212,229,156
401917.490,5755816.980,77.880,219,237,162
401917.560,5755816.870,77.890,228,244,167
401917.310,5755817.020,77.830,166,168,115
401917.370,5755816.910,77.840,182,192,131
401917.240,5755816.830,77.810,162,155,109
401914.880,5755817.330,77.650,152,143,113
401914.870,5755817.200,77.730,156,145,114
401914.760,5755817.260,77.620,150,141,112
401914.750,5755817.120,77.690,154,144,113
401914.900,5755817.030,77.630,155,144,112
401914.970,5755816.920,77.630,156,145,111
401914.560,5755817.290,77.580,146,139,111
401914.620,5755817.180,77.590,148,141,112
401914.660,5755817.060,77.630,150,141,112
401914.820,5755816.970,77.560,150,140,110
401914.320,5755817.310,77.590,143,137,112
401914.380,5755817.200,77.600,144,138,111
401914.490,5755817.100,77.570,145,139,112
401914.570,5755816.990,77.570,145,138,112
401914.750,5755816.910,77.470,145,138,111
401914.320,5755817.140,77.510,142,136,113
401914.420,5755817.040,77.480,142,136,113
401914.530,5755816.940,77.450,142,136,112
401914.340,5755816.970,77.420,137,134,113
401910.700,5755817.450,79.240,201,205,157
401908.360,5755817.330,79.610,196,219,146
401908.240,5755817.250,79.600,198,221,147
401908.350,5755817.170,79.550,196,222,145
401908.110,5755817.170,79.590,197,221,145
401908.210,5755817.090,79.550,196,221,138
401907.700,5755817.120,79.800,200,223,147
401907.560,5755817.420,79.580,203,219,147
401907.590,5755817.300,79.630,198,216,144
401907.580,5755817.170,79.720,202,224,151
401907.830,5755817.140,79.520,200,222,146
401907.330,5755817.550,79.540,183,207,126
401907.440,5755817.470,79.480,181,203,125
401907.520,5755817.370,79.480,195,215,139
401907.550,5755817.260,79.520,205,224,149
401907.620,5755817.160,79.520,208,230,157
401906.970,5755817.510,79.700,179,204,120
401907.130,5755817.450,79.600,181,205,121
401907.180,5755817.340,79.620,175,199,118
401907.280,5755817.250,79.590,202,219,143
401907.440,5755817.190,79.480,220,234,161
401907.580,5755817.110,79.410,208,228,157
401906.930,5755817.470,79.600,189,211,130
401906.940,5755817.350,79.660,190,213,132
401907.030,5755817.250,79.640,194,216,139
401906.790,5755817.260,79.690,208,226,153
401902.170,5755817.350,80.730,227,226,188
401902.040,5755817.270,80.750,213,215,174
401901.000,5755817.730,81.120,218,214,179
401901.140,5755817.670,81.030,236,233,202
401901.320,5755817.630,80.870,236,234,202
401901.390,5755817.550,80.860,227,226,187
401901.500,5755817.470,80.800,212,218,168
401901.660,5755817.420,80.680,203,209,155
401901.790,5755817.360,80.590,206,216,162
401900.970,5755817.690,81.010,229,229,189
401901.120,5755817.640,80.890,235,235,195
401901.270,5755817.590,80.780,225,226,183
401901.370,5755817.520,80.720,218,223,179
401900.900,5755817.640,80.940,219,223,178
401900.920,5755817.530,81.000,217,219,175
401901.040,5755817.460,80.930,222,223,177
401900.500,5755817.800,81.070,236,234,191
401900.610,5755817.730,81.000,207,216,154
401900.700,5755817.650,80.980,198,212,146
401900.790,5755817.570,80.930,212,216,167
401900.880,5755817.490,80.900,224,225,176
401900.960,5755817.410,80.870,222,226,176
401900.510,5755817.780,80.900,227,229,182
401900.610,5755817.710,80.840,202,214,151
401900.710,5755817.640,80.790,193,205,144
401900.790,5755817.550,80.780,208,213,162
401900.890,5755817.480,80.730,223,226,176
401900.500,5755817.760,80.740,212,222,169
401900.620,5755817.700,80.660,194,212,153
401898.760,5755817.540,80.450,216,230,154
401898.850,5755817.460,80.410,216,231,153
401898.920,5755817.380,80.400,214,229,152
401898.790,5755817.420,80.340,223,234,162
401898.730,5755817.370,80.250,224,233,159
401928.620,5755816.500,79.690,162,177,125
401928.630,5755816.680,79.700,182,202,136
401928.550,5755816.610,79.690,162,181,117
401928.440,5755816.560,79.710,164,184,116
401928.350,5755816.490,79.710,156,177,107
401928.700,5755816.940,79.770,184,208,125
401928.650,5755816.840,79.690,183,206,125
401928.570,5755816.760,79.660,178,201,124
401928.500,5755816.680,79.620,194,211,142
401928.390,5755816.630,79.650,187,201,136
401928.290,5755816.580,79.680,160,179,112
401928.200,5755816.520,79.680,166,186,118
401928.480,5755816.880,79.680,182,205,128
401928.420,5755816.790,79.630,195,214,144
401928.320,5755816.730,79.650,189,209,139
401928.220,5755816.680,79.660,166,189,117
401928.130,5755816.620,79.660,167,189,118
401928.030,5755816.570,79.690,182,202,130
401927.930,5755816.510,79.700,170,184,125
401928.450,5755816.940,79.590,181,205,133
401928.340,5755816.890,79.630,179,202,134
401928.240,5755816.840,79.640,184,209,131
401928.160,5755816.770,79.630,183,207,129
401928.050,5755816.720,79.650,172,193,121
401927.970,5755816.650,79.640,182,203,132
401927.880,5755816.590,79.650,148,166,107
401927.780,5755816.540,79.670,128,148,93
401927.660,5755816.510,79.740,130,154,100
401928.180,5755816.920,79.600,165,191,119
401928.100,5755816.840,79.570,187,212,134
401928.000,5755816.790,79.590,177,199,125
401927.930,5755816.710,79.560,180,201,132
401927.830,5755816.660,79.590,138,161,104
401927.720,5755816.610,79.620,128,149,100
401927.610,5755816.580,79.680,111,135,87
401927.480,5755816.560,79.760,129,153,100
401927.370,5755816.530,79.820,116,142,85
401928.030,5755816.950,79.560,181,207,131
401927.940,5755816.870,79.550,177,202,124
401927.900,5755816.750,79.440,158,183,110
401927.820,5755816.680,79.420,126,150,91
401927.680,5755816.680,79.540,129,153,98
401927.570,5755816.630,79.580,134,158,100
401927.450,5755816.610,79.660,126,151,94
401927.350,5755816.560,79.680,109,136,83
401927.240,5755816.530,79.730,101,129,74
401927.860,5755816.980,79.560,166,194,119
401927.820,5755816.870,79.460,156,183,100
401927.750,5755816.780,79.400,136,160,91
401927.630,5755816.740,79.460,134,159,94
401927.500,5755816.730,79.560,135,161,97
401927.390,5755816.700,79.620,101,128,74
401927.300,5755816.630,79.620,120,148,93
401927.200,5755816.580,79.640,127,154,97
401927.090,5755816.550,79.690,144,171,105
401927.750,5755816.960,79.430,170,195,112
401927.690,5755816.870,79.370,146,169,94
401927.570,5755816.840,79.430,132,155,94
401927.460,5755816.790,79.470,114,139,81
401927.350,5755816.760,79.520,96,119,67
401927.240,5755816.720,79.570,120,144,86
401927.160,5755816.650,79.560,147,171,111
401927.030,5755816.620,79.640,154,178,115
401926.930,5755816.590,79.690,150,170,105
401926.840,5755816.520,79.690,165,186,114
401927.600,5755816.990,79.400,183,205,129
401927.510,5755816.920,79.400,170,187,118
401927.410,5755816.860,79.410,132,149,85
401927.310,5755816.820,79.440,122,136,77
401927.190,5755816.800,79.520,116,132,73
401927.070,5755816.760,79.570,138,157,94
401926.960,5755816.740,79.650,158,180,111
401926.830,5755816.720,79.740,148,168,100
401926.740,5755816.660,79.750,177,192,116
401926.660,5755816.580,79.720,162,183,110
401927.170,5755817.000,79.600,163,177,112
401927.060,5755816.960,79.640,151,166,105
401926.950,5755816.930,79.700,162,180,117
401926.840,5755816.890,79.740,177,198,126
401926.740,5755816.850,79.790,164,184,117
401926.650,5755816.780,79.780,181,198,130
401926.580,5755816.700,79.740,175,195,124
401926.500,5755816.620,79.710,166,188,118
401926.420,5755816.540,79.680,176,198,126
401926.630,5755816.990,79.860,170,192,132
401926.530,5755816.940,79.890,181,205,143
401926.470,5755816.840,79.810,181,205,141
401926.410,5755816.750,79.760,154,175,117
401926.340,5755816.660,79.700,156,178,116
401926.270,5755816.560,79.640,146,170,103
401926.410,5755816.930,79.790,168,192,129
401926.320,5755816.860,79.780,159,180,121
401926.260,5755816.760,79.710,131,151,91
401926.190,5755816.680,79.660,133,157,93
401926.110,5755816.610,79.640,151,177,106
401926.000,5755816.570,79.690,174,201,120
401926.350,5755817.010,79.750,175,200,134
401926.280,5755816.930,79.710,168,191,123
401926.210,5755816.840,79.650,123,143,84
401926.120,5755816.780,79.660,115,139,81
401926.050,5755816.690,79.590,147,171,99
401925.950,5755816.640,79.630,163,193,110
401925.850,5755816.590,79.650,138,170,87
401926.230,5755817.010,79.650,173,196,128
401926.160,5755816.910,79.580,99,118,66
401926.060,5755816.860,79.620,101,122,69
401925.990,5755816.770,79.560,164,187,115
401925.880,5755816.740,79.620,161,188,109
401925.820,5755816.640,79.540,127,157,80
401926.130,5755816.960,79.470,110,129,75
401926.030,5755816.910,79.500,126,144,88
401925.940,5755816.840,79.490,154,175,109
401925.850,5755816.790,79.510,145,169,98
401925.760,5755816.720,79.490,142,168,98
401925.700,5755816.610,79.410,165,189,118
401926.090,5755817.020,79.380,136,149,95
401925.990,5755816.960,79.390,134,147,93
401925.900,5755816.900,79.400,147,166,104
401925.810,5755816.840,79.400,134,154,92
401925.720,5755816.780,79.420,144,167,100
401925.630,5755816.710,79.390,175,198,125
401925.550,5755816.630,79.370,168,192,116
401925.950,5755817.020,79.300,126,132,88
401925.860,5755816.960,79.310,128,144,83
401925.760,5755816.910,79.330,138,157,95
401925.680,5755816.830,79.310,152,173,102
401925.590,5755816.770,79.310,184,203,115
401925.510,5755816.700,79.290,174,195,102
401925.430,5755816.620,79.260,149,177,99
401925.330,5755816.570,79.290,134,163,92
401925.680,5755817.020,79.360,165,179,119
401925.590,5755816.960,79.360,170,191,116
401925.540,5755816.840,79.230,183,198,114
401925.460,5755816.770,79.230,169,186,93
401925.370,5755816.710,79.230,145,170,87
401925.220,5755816.720,79.380,112,139,74
401925.120,5755816.680,79.420,86,115,63
401925.040,5755816.600,79.390,95,124,70
401925.400,5755817.050,79.450,190,208,129
401925.380,5755816.890,79.250,184,199,115
401925.290,5755816.810,79.230,173,187,110
401925.160,5755816.810,79.350,129,149,88
401925.070,5755816.760,79.370,96,122,71
401924.990,5755816.680,79.350,96,123,71
401924.890,5755816.630,79.380,124,152,91
401924.780,5755816.600,79.420,148,175,105
401925.300,5755817.000,79.270,205,217,141
401925.200,5755816.940,79.280,208,214,148
401925.130,5755816.850,79.230,158,172,108
401925.000,5755816.850,79.340,118,143,80
401924.920,5755816.780,79.330,102,130,70
401924.820,5755816.730,79.360,133,161,96
401924.720,5755816.680,79.390,174,198,125
401924.630,5755816.620,79.400,178,205,129
401925.110,5755817.070,79.330,202,211,143
401925.060,5755816.960,79.240,183,201,124
401924.960,5755816.910,79.260,168,191,113
401924.860,5755816.860,79.290,120,144,80
401924.760,5755816.810,79.320,129,156,93
401924.670,5755816.760,79.340,148,176,108
401924.590,5755816.680,79.300,147,176,106
401924.500,5755816.620,79.310,164,192,115
401924.890,5755817.010,79.260,183,206,119
401924.810,5755816.930,79.230,150,173,94
401924.710,5755816.890,79.260,146,174,98
401924.610,5755816.840,79.290,155,185,108
401924.510,5755816.800,79.330,162,189,119
401924.420,5755816.730,79.330,158,184,115
