//X,Y,Z,R,G,B
401853.590,5755903.910,79.910,177,197,131
401853.640,5755903.760,79.970,179,203,138
401853.690,5755903.650,79.980,176,197,130
401853.790,5755903.650,80.050,191,210,144
401853.880,5755903.720,80.030,171,190,128
401853.970,5755903.760,80.040,170,187,137
401854.070,5755903.770,80.100,191,204,153
401853.750,5755903.510,80.030,183,203,140
401853.840,5755903.510,80.100,182,204,135
401853.930,5755903.620,80.010,155,181,111
401854.020,5755903.670,80.010,165,186,120
401854.110,5755903.700,80.040,181,199,135
401853.800,5755903.370,80.070,177,202,134
401853.890,5755903.420,80.080,171,199,126
401853.980,5755903.470,80.070,179,207,127
401854.070,5755903.530,80.060,185,210,126
401854.170,5755903.580,80.060,184,205,132
401853.840,5755903.320,79.970,186,202,141
401853.930,5755903.380,79.970,167,190,121
401854.030,5755903.420,79.980,192,217,139
401854.120,5755903.480,79.960,184,208,128
401854.210,5755903.480,80.050,153,180,108
401853.890,5755903.190,80.000,192,205,149
401853.990,5755903.240,80.010,172,190,131
401854.080,5755903.290,80.020,195,214,150
401854.170,5755903.330,80.020,184,205,134
401854.260,5755903.390,80.010,146,172,101
401853.950,5755903.000,80.150,167,187,130
401854.050,5755903.050,80.150,157,177,118
401854.130,5755903.140,80.080,153,176,116
401854.220,5755903.200,80.070,188,211,149
401854.310,5755903.240,80.080,170,194,128
401854.000,5755902.930,80.090,176,196,139
401854.090,5755902.980,80.080,158,179,117
401854.180,5755903.030,80.080,155,181,114
401854.270,5755903.090,80.060,173,199,134
401854.360,5755903.130,80.080,155,181,117
401854.050,5755902.770,80.170,158,177,119
401854.140,5755902.860,80.100,133,152,92
401854.230,5755902.930,80.070,132,157,93
401854.320,5755902.960,80.100,147,172,111
401854.410,5755902.990,80.140,164,190,130
401854.110,5755902.640,80.210,144,167,108
401854.190,5755902.720,80.160,145,166,105
401854.280,5755902.800,80.110,157,182,118
401854.370,5755902.870,80.070,154,179,117
401854.460,5755902.910,80.090,171,196,136
401854.160,5755902.520,80.240,141,165,106
401854.240,5755902.600,80.180,140,162,102
401854.330,5755902.680,80.130,149,173,112
401854.420,5755902.750,80.090,152,177,114
401854.510,5755902.790,80.120,156,179,115
401854.200,5755902.410,80.240,146,170,110
401854.290,5755902.490,80.180,135,157,101
401854.380,5755902.550,80.170,153,173,113
401854.470,5755902.630,80.120,160,179,117
401854.560,5755902.690,80.100,151,174,109
401854.240,5755902.420,80.040,122,147,99
401854.340,5755902.390,80.180,150,175,118
401854.420,5755902.500,80.070,155,176,113
401854.510,5755902.550,80.080,148,167,105
401854.600,5755902.590,80.090,142,163,104
401854.280,5755902.350,79.970,136,160,107
401854.380,5755902.350,80.060,156,182,120
401854.470,5755902.380,80.100,146,170,108
401854.560,5755902.410,80.130,126,149,90
401854.650,5755902.540,80.000,154,176,115
401854.330,5755902.270,79.930,133,159,96
401854.430,5755902.220,80.100,139,168,98
401854.520,5755902.250,80.140,150,180,113
401854.610,5755902.310,80.120,147,178,113
401854.690,5755902.440,79.990,144,169,104
401854.280,5755902.170,79.820,167,192,126
401854.370,5755902.190,79.870,160,189,117
401854.470,5755902.230,79.910,153,188,108
401854.560,5755902.270,79.910,154,189,110
401854.650,5755902.260,80.020,160,194,116
401854.740,5755902.310,80.020,162,187,126
401854.320,5755902.120,79.720,170,200,127
401854.420,5755902.120,79.820,162,192,117
401854.510,5755902.150,79.850,162,193,111
401854.600,5755902.170,79.900,146,177,98
401854.700,5755902.170,79.990,156,187,108
401854.790,5755902.210,80.010,155,178,120
401854.380,5755901.960,79.810,166,194,121
401854.470,5755902.000,79.840,176,205,129
401854.560,5755902.030,79.870,154,182,102
401854.650,5755902.070,79.900,158,185,109
401854.750,5755902.090,79.950,172,199,121
401854.420,5755901.890,79.760,162,187,121
401854.520,5755901.900,79.820,170,194,125
401854.610,5755901.930,79.860,165,188,114
401854.700,5755901.980,79.860,164,190,114
401854.790,5755902.010,79.910,169,195,117
401854.470,5755901.760,79.790,162,188,115
401854.560,5755901.810,79.810,183,207,136
401854.660,5755901.840,79.840,176,198,130
401854.750,5755901.880,79.860,156,180,111
401854.840,5755901.900,79.900,168,192,122
401854.520,5755901.650,79.820,161,187,110
401854.610,5755901.700,79.810,180,203,129
401854.700,5755901.740,79.830,155,177,109
401854.790,5755901.780,79.850,136,163,98
401854.880,5755901.820,79.870,147,174,109
401854.570,5755901.560,79.790,164,192,119
401854.660,5755901.610,79.790,175,201,131
401854.750,5755901.650,79.800,152,178,111
401854.840,5755901.690,79.820,159,185,120
401854.610,5755901.490,79.710,161,191,119
401854.700,5755901.520,79.750,168,196,123
401854.790,5755901.610,79.680,159,189,114
401854.880,5755901.630,79.730,159,185,114
401854.660,5755901.420,79.640,159,189,115
401854.750,5755901.450,79.690,149,180,100
401854.930,5755901.570,79.650,152,178,101
401854.700,5755901.300,79.680,157,182,111
401854.800,5755901.350,79.680,150,178,102
401854.880,5755901.420,79.630,158,186,104
401854.970,5755901.460,79.660,168,192,116
401855.070,5755901.490,79.690,170,194,118
401854.750,5755901.220,79.640,164,186,116
401854.840,5755901.260,79.650,161,187,115
401854.930,5755901.330,79.600,153,179,105
401855.020,5755901.390,79.590,171,195,121
401855.110,5755901.430,79.610,169,193,114
401854.800,5755901.140,79.590,177,200,130
401854.890,5755901.190,79.580,152,174,106
401854.980,5755901.240,79.580,171,195,119
401855.060,5755901.300,79.560,149,173,100
401855.150,5755901.360,79.540,139,162,89
401854.840,5755901.050,79.550,169,194,124
401854.930,5755901.090,79.580,147,173,104
401855.020,5755901.160,79.530,150,178,109
401855.110,5755901.220,79.520,126,150,86
401855.200,5755901.280,79.500,121,145,82
401854.980,5755900.990,79.570,155,182,116
401855.070,5755901.040,79.580,147,174,112
401855.160,5755901.090,79.580,136,160,101
401855.250,5755901.160,79.520,126,151,90
401855.120,5755900.930,79.580,149,174,110
401855.210,5755900.990,79.570,150,169,109
401855.250,5755900.920,79.490,176,197,130
401855.300,5755900.850,79.440,182,207,134
401855.340,5755900.750,79.410,184,210,132
401855.430,5755900.750,79.520,170,195,124
401855.390,5755900.650,79.410,172,199,123
401855.260,5755900.390,79.530,135,164,86
401855.350,5755900.470,79.480,159,185,110
401855.440,5755900.540,79.420,154,177,102
401855.570,5755900.430,79.530,156,178,108
401855.540,5755899.660,79.780,111,133,76
401855.590,5755899.600,79.690,139,159,102
401855.810,5755899.510,79.870,177,195,128
401855.900,5755899.560,79.880,170,190,124
401855.860,5755899.450,79.790,190,213,140
401855.950,5755899.440,79.910,179,203,131
401855.900,5755899.360,79.770,182,207,132
401855.990,5755899.380,79.830,179,204,133
401855.860,5755899.280,79.630,167,196,116
401855.940,5755899.300,79.700,164,193,122
401856.030,5755899.300,79.800,156,183,115
401855.900,5755899.190,79.610,123,153,84
401855.990,5755899.200,79.690,141,171,105
401856.080,5755899.210,79.770,142,170,106
401855.860,5755898.980,79.740,94,122,59
401856.030,5755899.100,79.690,130,159,98
401855.900,5755898.890,79.720,97,123,62
401857.370,5755895.260,77.830,150,132,91
401857.460,5755895.310,77.840,142,126,88
401857.550,5755895.390,77.750,132,119,84
401857.640,5755895.450,77.710,124,114,84
401857.410,5755895.170,77.810,154,136,94
401857.500,5755895.230,77.790,151,133,91
401857.590,5755895.300,77.710,143,128,88
401857.680,5755895.360,77.700,137,124,90
401857.460,5755895.080,77.800,153,137,96
401857.540,5755895.140,77.790,154,137,94
401857.640,5755895.220,77.680,148,133,92
401857.720,5755895.270,77.670,145,130,94
401857.590,5755895.020,77.850,151,136,96
401857.680,5755895.100,77.770,152,137,97
