//X,Y,Z,R,G,B
401916.650,5755889.840,79.950,104,126,95
401916.460,5755889.940,79.970,112,133,97
401916.680,5755890.080,79.870,127,146,101
401916.500,5755890.170,79.890,152,168,118
401916.320,5755890.210,79.880,158,177,120
401916.720,5755890.310,79.790,151,171,109
401916.540,5755890.360,79.790,172,192,124
401916.360,5755890.370,79.770,173,195,123
401916.760,5755890.630,79.750,173,196,118
401916.580,5755890.660,79.740,179,202,121
401916.400,5755890.680,79.720,182,207,123
401916.800,5755890.940,79.710,175,197,117
401916.620,5755890.990,79.700,183,207,125
401916.440,5755891.020,79.690,183,207,123
401916.850,5755893.560,79.830,168,191,115
401917.240,5755893.420,79.630,166,193,107
401917.060,5755893.580,79.670,175,201,116
401916.890,5755893.710,79.710,189,212,134
401917.270,5755893.910,79.680,167,194,106
401917.090,5755894.340,79.870,175,200,115
401917.310,5755894.430,79.760,168,195,110
401917.130,5755894.330,79.680,166,192,108
401917.510,5755894.840,79.810,162,193,98
401917.340,5755894.770,79.750,158,187,101
401917.170,5755894.680,79.670,164,189,106
401917.380,5755895.000,79.670,153,182,98
401917.200,5755895.210,79.760,160,186,102
401917.580,5755895.220,79.630,170,200,96
401917.410,5755895.300,79.640,167,195,104
401916.660,5755889.460,79.970,55,91,65
401916.550,5755889.380,79.950,50,85,58
401916.450,5755889.340,79.980,53,89,61
401916.340,5755889.260,79.970,62,99,67
401916.710,5755889.680,79.970,62,94,64
401916.490,5755889.400,79.850,55,91,60
401916.390,5755889.440,79.930,64,100,67
401916.280,5755889.330,79.900,57,95,60
401916.750,5755889.880,79.950,79,110,75
401916.650,5755889.920,80.040,82,109,75
401916.550,5755889.830,80.010,52,85,54
401916.430,5755889.520,79.810,66,101,66
401916.330,5755889.520,79.870,69,103,65
401916.800,5755890.090,79.940,86,112,72
401916.700,5755890.040,79.950,91,118,76
401916.590,5755890.080,80.030,87,113,73
401916.490,5755889.950,79.980,67,97,59
401916.370,5755889.620,79.760,79,111,70
401916.270,5755889.620,79.820,76,109,62
401916.740,5755890.240,79.930,108,133,84
401916.640,5755890.230,79.970,106,127,78
401916.530,5755890.160,79.970,99,122,74
401916.430,5755890.030,79.920,91,116,70
401916.310,5755889.750,79.740,92,123,76
401916.790,5755890.350,79.840,137,163,97
401916.680,5755890.360,79.900,140,163,101
401916.580,5755890.330,79.920,139,159,98
401916.470,5755890.260,79.920,132,151,96
401916.360,5755890.080,79.830,125,142,90
401916.830,5755890.520,79.790,145,173,97
401916.730,5755890.480,79.810,147,174,98
401916.620,5755890.500,79.880,159,182,111
