//X,Y,Z,R,G,B
401901.500,5755926.140,80.070,56,85,54
401901.360,5755926.170,80.060,57,85,53
401901.270,5755926.270,80.130,68,94,58
401901.530,5755926.230,79.980,55,84,53
401901.400,5755926.270,79.980,62,89,55
401901.300,5755926.360,80.040,71,97,61
401901.530,5755926.280,79.840,58,87,54
401901.410,5755926.320,79.850,64,92,57
401901.340,5755926.490,79.980,61,88,54
401901.210,5755926.500,79.950,59,85,55
401901.590,5755926.430,79.820,73,101,66
401901.490,5755926.530,79.880,66,93,59
401901.400,5755926.640,79.960,60,87,54
401901.270,5755926.680,79.950,67,93,61
401901.630,5755926.550,79.760,72,100,64
401901.550,5755926.680,79.850,74,101,65
401901.450,5755926.780,79.910,72,99,63
401901.350,5755926.860,79.960,80,106,67
401901.730,5755926.800,79.830,71,100,63
401901.640,5755926.900,79.900,83,110,70
401901.540,5755926.990,79.950,75,102,63
401901.430,5755927.060,79.990,76,103,63
401901.800,5755926.960,79.820,73,101,62
401901.690,5755927.040,79.860,72,100,58
401901.600,5755927.160,79.940,69,96,54
401901.500,5755927.240,79.990,73,100,56
401901.830,5755927.070,79.740,77,105,63
401901.720,5755927.140,79.780,77,105,59
401901.630,5755927.240,79.840,69,97,52
401901.530,5755927.340,79.910,88,115,66
401901.860,5755927.160,79.660,87,115,70
401901.760,5755927.250,79.720,101,129,79
401901.660,5755927.340,79.760,85,114,65
401901.560,5755927.440,79.830,91,119,69
401901.700,5755927.450,79.700,85,114,65
401901.600,5755927.540,79.750,84,113,64
401901.630,5755927.640,79.680,75,103,62
401901.710,5755927.840,79.700,50,76,47
401901.760,5755927.970,79.660,63,88,56
401901.810,5755928.100,79.620,96,121,84
401901.890,5755928.300,79.660,88,115,77
401901.800,5755928.400,79.720,96,123,86
401902.240,5755928.480,79.750,62,93,52
401902.100,5755928.480,79.710,80,110,69
401901.980,5755928.510,79.700,86,114,75
401901.880,5755928.600,79.760,75,104,70
401902.370,5755928.790,79.910,51,83,47
401902.190,5755928.700,79.760,60,91,54
401902.050,5755928.690,79.720,80,110,71
401901.960,5755928.790,79.780,78,109,74
401902.460,5755928.990,79.950,48,79,47
401902.290,5755928.930,79.830,50,83,49
401902.160,5755928.950,79.820,62,94,58
401902.040,5755928.990,79.820,68,101,66
401902.380,5755929.150,79.900,50,84,51
401902.300,5755929.260,79.990,61,96,59
401902.190,5755929.320,80.010,66,100,63
401902.530,5755929.480,80.090,62,93,62
401902.390,5755929.490,80.060,61,95,58
401902.280,5755929.540,80.070,63,99,60
401902.590,5755929.650,80.100,79,107,74
401902.480,5755929.700,80.120,61,94,58
401902.340,5755929.700,80.070,58,93,56
401902.250,5755929.800,80.140,53,86,53
401902.660,5755929.810,80.100,88,116,72
401902.530,5755929.830,80.080,71,103,67
401902.380,5755929.800,80.010,66,99,65
401902.270,5755929.850,80.020,58,92,60
401902.670,5755929.880,79.990,102,130,77
401902.550,5755929.910,79.990,77,108,67
401902.420,5755929.910,79.950,73,105,72
401902.320,5755930.000,80.000,69,102,71
401902.690,5755929.940,79.880,95,126,67
401902.570,5755929.980,79.890,80,113,69
401902.440,5755929.990,79.850,71,105,69
401902.350,5755930.080,79.910,73,106,74
401902.710,5755930.020,79.780,81,114,55
401902.600,5755930.070,79.800,76,109,62
