//X,Y,Z,R,G,B
401813.910,5755923.280,79.910,62,89,80
401813.800,5755923.380,79.860,56,82,73
401813.670,5755923.490,79.810,59,85,77
401814.060,5755923.330,79.920,63,92,82
401813.930,5755923.430,79.860,58,87,78
401813.780,5755923.540,79.780,62,90,83
401813.690,5755923.640,79.750,60,89,81
401814.080,5755923.390,79.810,66,96,83
401814.010,5755923.490,79.800,61,91,79
401813.910,5755923.590,79.770,64,95,85
401813.740,5755923.710,79.670,65,96,85
401814.200,5755923.440,79.790,62,94,80
401814.150,5755923.540,79.810,68,99,84
401814.060,5755923.640,79.770,74,104,88
401814.040,5755923.730,79.810,70,101,85
401814.250,5755923.590,79.770,83,114,90
401814.300,5755923.670,79.870,98,124,98
401814.070,5755923.790,79.720,84,110,88
401814.400,5755923.550,79.720,67,101,79
401814.450,5755923.630,79.830,97,126,96
401814.400,5755923.730,79.840,117,142,110
401814.260,5755923.840,79.760,101,124,95
401814.560,5755923.600,79.740,83,115,89
401814.520,5755923.690,79.760,116,141,103
401814.460,5755923.790,79.760,102,127,92
401814.360,5755923.890,79.720,91,120,86
401814.750,5755923.640,79.790,119,151,114
401814.740,5755923.730,79.840,166,191,140
401814.670,5755923.820,79.830,143,166,114
401814.540,5755923.930,79.770,123,152,102
401814.940,5755923.680,79.840,118,149,109
401814.900,5755923.770,79.860,160,191,134
401814.810,5755923.870,79.840,178,207,137
401814.710,5755923.970,79.800,184,214,138
401815.060,5755923.730,79.830,99,129,96
401814.990,5755923.830,79.810,143,175,124
401814.980,5755923.910,79.870,167,197,132
401814.920,5755924.010,79.870,172,200,126
401814.850,5755924.100,79.860,183,212,135
401815.200,5755923.780,79.830,87,117,89
401815.130,5755923.870,79.820,96,129,93
401815.120,5755923.960,79.870,127,159,110
401815.070,5755924.050,79.880,140,169,110
401815.000,5755924.150,79.880,144,172,108
401815.240,5755923.920,79.800,79,112,84
401815.160,5755924.020,79.780,91,125,90
401815.250,5755924.090,79.920,113,146,100
401815.200,5755924.180,79.930,152,183,118
401815.190,5755924.270,79.980,157,185,112
401815.460,5755923.870,79.820,81,113,89
401815.370,5755923.970,79.790,72,105,80
401815.400,5755924.050,79.880,77,112,83
401815.390,5755924.140,79.930,98,132,93
401815.290,5755924.240,79.890,128,161,108
401815.270,5755924.320,79.930,155,185,118
401815.420,5755924.030,79.710,70,104,80
401815.440,5755924.110,79.790,83,117,90
401815.430,5755924.200,79.830,100,132,98
401815.360,5755924.300,79.830,103,134,96
401815.630,5755924.070,79.780,67,101,76
401815.590,5755924.160,79.800,88,120,91
401815.530,5755924.250,79.800,99,129,96
401815.450,5755924.350,79.780,91,122,90
401815.750,5755924.120,79.770,81,115,89
401815.690,5755924.210,79.770,96,127,94
401815.640,5755924.300,79.780,106,135,98
401815.560,5755924.400,79.760,99,128,94
401815.890,5755924.160,79.770,83,118,90
401815.800,5755924.260,79.750,128,160,119
401815.750,5755924.360,79.750,144,172,127
401815.690,5755924.450,79.760,139,164,124
401816.030,5755924.210,79.780,81,115,89
401815.960,5755924.300,79.770,132,164,123
401815.900,5755924.400,79.770,151,181,134
401815.840,5755924.490,79.780,159,187,141
401816.190,5755924.250,79.810,82,115,90
401816.100,5755924.350,79.770,108,139,104
401816.000,5755924.450,79.730,123,152,110
401815.940,5755924.540,79.740,147,177,129
401816.300,5755924.220,79.720,72,100,81
401816.260,5755924.310,79.740,77,106,85
401816.190,5755924.400,79.730,87,115,91
401816.160,5755924.490,79.760,105,132,102
401816.090,5755924.590,79.750,146,174,133
401816.400,5755924.350,79.750,76,97,82
401816.320,5755924.450,79.730,85,103,84
401816.250,5755924.550,79.720,97,113,89
401816.170,5755924.640,79.710,139,157,123
401816.470,5755924.330,79.620,80,103,89
401816.410,5755924.420,79.620,86,105,88
401816.350,5755924.520,79.630,102,113,90
401816.310,5755924.610,79.650,111,118,90
401816.260,5755924.700,79.660,133,141,108
401816.620,5755924.370,79.640,88,117,97
401816.530,5755924.470,79.620,109,134,108
401816.490,5755924.560,79.640,153,167,129
401816.450,5755924.650,79.660,145,155,116
401816.410,5755924.740,79.680,136,146,111
401816.730,5755924.420,79.620,94,124,100
401816.690,5755924.510,79.650,124,153,121
401816.660,5755924.600,79.670,184,206,158
401816.610,5755924.690,79.690,185,204,151
401816.600,5755924.770,79.740,170,187,141
401816.910,5755924.460,79.670,90,121,97
401816.880,5755924.550,79.700,117,147,116
401816.850,5755924.630,79.730,155,182,139
401816.890,5755924.710,79.830,162,187,137
401816.860,5755924.790,79.860,163,186,137
401816.720,5755924.900,79.790,155,175,131
401817.030,5755924.590,79.720,108,138,107
401816.970,5755924.680,79.720,124,151,116
401816.950,5755924.770,79.760,116,142,107
401816.850,5755924.870,79.720,116,143,107
401816.830,5755924.950,79.760,136,162,120
401817.210,5755924.620,79.770,104,130,101
401817.160,5755924.720,79.780,117,144,115
401817.130,5755924.800,79.810,98,126,99
401817.110,5755924.890,79.850,101,130,103
401817.290,5755924.680,79.720,98,122,90
401817.260,5755924.770,79.750,96,122,94
401817.220,5755924.860,79.770,83,111,86
401817.140,5755924.950,79.750,101,131,104
401817.430,5755924.720,79.730,121,147,109
401817.340,5755924.820,79.700,109,136,104
401817.320,5755924.910,79.740,87,115,89
401817.290,5755924.990,79.770,92,122,93
401817.560,5755924.770,79.730,123,152,115
401817.520,5755924.860,79.750,120,148,117
401817.430,5755924.960,79.720,93,123,95
401817.670,5755924.820,79.710,110,141,107
401817.620,5755924.910,79.720,108,137,108
401817.470,5755925.020,79.630,96,125,98
401817.420,5755925.110,79.630,101,131,101
401817.770,5755924.870,79.680,103,130,100
401817.710,5755924.960,79.680,95,124,98
401817.670,5755925.050,79.700,93,123,98
401817.640,5755925.140,79.730,90,120,94
401817.610,5755925.220,79.760,100,132,102
401817.880,5755924.920,79.660,111,135,102
401817.810,5755925.010,79.650,85,113,86
401817.800,5755925.090,79.700,84,113,89
401817.860,5755925.160,79.820,84,114,91
401817.800,5755925.250,79.820,97,127,100
401818.050,5755924.950,79.700,125,147,105
401818.010,5755925.040,79.730,101,125,94
401817.960,5755925.130,79.740,96,121,93
401817.900,5755925.220,79.730,92,118,92
401817.800,5755925.320,79.690,89,116,91
401818.160,5755925.000,79.690,166,188,130
401818.140,5755925.090,79.720,147,168,121
401818.100,5755925.170,79.740,131,153,109
401818.010,5755925.270,79.710,118,141,102
401817.900,5755925.380,79.660,96,122,93
401818.250,5755925.050,79.640,208,225,162
401818.220,5755925.140,79.680,206,223,163
401818.170,5755925.230,79.680,191,210,149
401818.120,5755925.320,79.690,157,180,125
401818.060,5755925.410,79.700,118,144,106
401818.370,5755925.100,79.640,222,239,175
401818.320,5755925.190,79.640,222,240,175
401818.240,5755925.290,79.620,212,233,167
401818.200,5755925.370,79.650,191,214,153
401818.170,5755925.460,79.680,147,172,125
401818.490,5755925.150,79.630,215,234,172
401818.450,5755925.230,79.650,215,235,174
401818.310,5755925.340,79.570,202,223,162
401818.260,5755925.440,79.580,188,212,151
401818.310,5755925.500,79.700,157,181,126
401818.590,5755925.200,79.600,212,230,174
401818.520,5755925.290,79.590,214,234,177
401818.470,5755925.380,79.600,206,226,167
401818.390,5755925.480,79.580,200,220,160
401818.480,5755925.530,79.740,173,196,138
401818.480,5755925.610,79.800,123,150,108
401818.710,5755925.240,79.590,223,236,179
401818.630,5755925.340,79.580,204,225,163
401818.580,5755925.430,79.580,206,230,166
401818.530,5755925.520,79.590,202,225,161
401818.530,5755925.600,79.650,178,200,143
401818.830,5755925.290,79.580,241,246,194
401818.780,5755925.380,79.590,216,229,167
401818.800,5755925.450,79.690,202,223,158
401818.740,5755925.540,79.680,194,217,153
401818.670,5755925.640,79.680,163,186,131
401818.940,5755925.340,79.570,226,232,178
401818.900,5755925.420,79.590,225,234,175
401818.830,5755925.520,79.580,217,229,167
401818.820,5755925.600,79.640,195,210,149
401818.720,5755925.700,79.590,146,167,115
401819.050,5755925.380,79.560,216,224,162
401819.010,5755925.470,79.580,216,223,162
401819.120,5755925.520,79.750,219,223,162
401819.000,5755925.630,79.690,193,200,141
401818.850,5755925.740,79.590,139,153,108
401819.180,5755925.420,79.560,212,222,155
401819.120,5755925.520,79.560,224,231,168
401819.060,5755925.610,79.550,221,225,163
401818.990,5755925.700,79.550,191,197,139
401818.940,5755925.790,79.560,137,147,103
401819.300,5755925.470,79.550,220,229,163
401819.220,5755925.570,79.530,223,232,167
