//X,Y,Z,R,G,B
401935.520,5755833.720,80.020,148,186,89
401935.420,5755833.650,80.030,141,177,91
401935.470,5755833.770,79.930,134,171,83
401935.360,5755833.720,79.960,134,166,89
401935.230,5755833.710,80.010,139,170,100
401935.620,5755834.000,79.860,149,181,106
401935.510,5755833.930,79.870,157,190,117
401935.380,5755833.930,79.940,147,178,105
401935.270,5755833.880,79.960,157,186,119
401935.150,5755833.840,79.990,159,188,124
401935.040,5755833.790,80.010,168,199,130
401935.440,5755834.050,79.840,153,186,116
401935.310,5755834.050,79.910,154,187,117
401935.180,5755834.040,79.960,162,193,126
401935.070,5755833.990,79.980,158,189,122
401934.940,5755833.980,80.050,167,194,126
401935.220,5755834.200,79.900,150,184,114
401935.100,5755834.180,79.950,164,197,129
401934.980,5755834.160,79.990,167,199,130
401934.860,5755834.140,80.040,169,198,130
401934.760,5755834.030,80.010,156,185,114
401935.020,5755834.310,79.930,158,192,123
401934.910,5755834.270,79.960,166,200,128
401934.800,5755834.210,79.970,150,182,110
401934.700,5755834.120,79.950,150,182,109
401934.600,5755834.020,79.930,162,189,122
401934.820,5755834.440,79.970,168,201,126
401934.720,5755834.350,79.960,153,185,112
401934.620,5755834.250,79.930,157,189,117
401934.520,5755834.160,79.920,175,204,139
401934.660,5755834.420,79.880,163,197,121
401934.560,5755834.330,79.870,174,206,133
401934.450,5755834.260,79.870,156,185,123
401934.370,5755834.120,79.810,161,189,132
401934.580,5755834.530,79.850,149,182,104
401934.470,5755834.480,79.870,159,189,116
401934.380,5755834.380,79.840,142,168,105
401934.280,5755834.280,79.820,137,162,107
401934.130,5755834.350,79.950,142,166,110
401934.400,5755834.610,79.850,161,188,120
401934.300,5755834.520,79.830,150,172,116
401934.190,5755834.460,79.840,138,161,110
401934.080,5755834.400,79.860,147,172,115
401933.930,5755834.480,80.000,132,152,100
401933.820,5755834.440,80.020,115,138,93
401934.220,5755834.640,79.800,154,176,121
401934.110,5755834.590,79.820,149,173,121
401934.000,5755834.540,79.840,147,172,119
401933.880,5755834.540,79.910,147,169,117
401933.760,5755834.510,79.950,117,139,90
401933.600,5755834.640,80.130,104,131,82
401934.020,5755834.760,79.840,144,168,114
401933.910,5755834.710,79.860,146,170,119
401933.750,5755834.820,80.030,153,179,123
401933.640,5755834.770,80.050,146,172,116
401933.540,5755834.720,80.070,125,149,103
401933.440,5755834.620,80.040,130,162,104
401933.690,5755834.910,79.970,139,165,112
401933.590,5755834.840,79.970,128,156,102
401933.480,5755834.770,79.970,109,135,90
401933.370,5755834.720,79.990,123,157,101
401933.260,5755834.690,80.040,137,171,114
401933.640,5755834.970,79.880,132,156,105
401933.530,5755834.900,79.890,113,138,91
401933.420,5755834.840,79.900,96,120,75
401933.310,5755834.790,79.920,105,132,87
401933.200,5755834.760,79.960,125,152,106
401933.570,5755835.060,79.830,123,147,93
401933.460,5755835.000,79.850,124,145,100
401933.360,5755834.920,79.840,127,145,101
401933.250,5755834.870,79.860,116,132,85
401933.140,5755834.840,79.900,125,148,98
401933.380,5755835.130,79.820,153,176,122
401933.280,5755835.050,79.810,154,173,126
401933.180,5755834.990,79.830,155,170,122
401933.070,5755834.920,79.830,159,181,125
401932.970,5755834.830,79.820,171,193,139
401933.210,5755835.180,79.790,154,177,126
401933.100,5755835.110,79.800,163,182,132
401932.990,5755835.070,79.830,165,189,132
401932.890,5755834.990,79.830,165,192,133
401933.010,5755835.310,79.850,152,174,120
401932.890,5755835.280,79.890,147,172,111
401932.800,5755835.170,79.850,149,178,117
401932.710,5755835.050,79.810,161,189,127
401932.700,5755835.390,79.920,155,183,119
401932.610,5755835.260,79.870,152,181,115
401932.510,5755835.210,79.880,163,188,123
401932.640,5755835.460,79.840,158,187,121
401932.530,5755835.410,79.870,157,185,116
401932.430,5755835.340,79.860,164,190,125
401932.340,5755835.200,79.810,159,182,122
401932.460,5755835.540,79.850,153,183,114
401932.350,5755835.470,79.850,161,192,121
401932.250,5755835.420,79.870,159,189,119
401932.140,5755835.380,79.900,159,190,121
401932.030,5755835.330,79.920,172,203,128
401932.400,5755835.610,79.780,146,176,112
401932.290,5755835.570,79.800,147,179,108
401932.180,5755835.520,79.830,139,173,98
401932.070,5755835.490,79.870,154,188,114
401931.960,5755835.420,79.870,163,196,116
401931.850,5755835.390,79.900,149,185,99
401932.220,5755835.680,79.770,149,178,109
401932.110,5755835.630,79.790,131,164,91
401932.000,5755835.580,79.810,139,174,97
401931.900,5755835.500,79.800,140,176,91
401931.800,5755835.420,79.800,141,178,96
401932.020,5755835.810,79.820,137,167,93
401931.940,5755835.660,79.740,127,158,84
401931.840,5755835.580,79.740,120,154,70
401931.730,5755835.520,79.750,128,163,83
401931.850,5755835.840,79.770,138,164,95
401931.750,5755835.750,79.760,127,151,85
401931.660,5755835.660,79.740,126,152,87
401931.550,5755835.590,79.740,143,172,105
401931.790,5755835.920,79.710,156,182,112
401931.700,5755835.800,79.670,163,185,119
401931.600,5755835.710,79.650,148,171,104
401931.490,5755835.650,79.670,160,186,120
401931.620,5755835.950,79.670,158,186,113
401931.530,5755835.840,79.630,166,194,121
401931.420,5755835.780,79.640,159,185,120
401931.320,5755835.710,79.650,154,180,118
401931.210,5755835.690,79.700,144,168,105
401931.450,5755835.990,79.630,168,196,126
401931.340,5755835.930,79.650,146,171,108
401931.230,5755835.890,79.680,128,153,94
401931.130,5755835.840,79.700,135,161,99
401931.020,5755835.790,79.720,145,173,104
401931.370,5755836.150,79.650,160,182,116
401931.260,5755836.110,79.680,133,154,93
401931.150,5755836.070,79.710,127,151,89
401931.050,5755836.000,79.710,125,149,87
401930.950,5755835.920,79.700,131,157,94
401930.840,5755835.870,79.720,137,166,103
401931.070,5755836.230,79.720,158,185,113
401930.970,5755836.160,79.720,147,173,104
401930.870,5755836.060,79.700,135,160,95
401930.760,5755836.040,79.740,132,156,94
401931.000,5755836.320,79.670,165,194,121
401930.910,5755836.240,79.660,147,175,106
401930.800,5755836.170,79.670,142,166,100
401930.690,5755836.130,79.700,133,154,89
401930.600,5755836.040,79.680,143,166,98
401930.830,5755836.380,79.650,162,188,122
401930.720,5755836.330,79.670,173,196,131
401930.620,5755836.250,79.670,157,177,115
401930.520,5755836.190,79.680,137,158,93
401930.650,5755836.450,79.660,175,197,133
401930.560,5755836.340,79.610,179,203,141
401930.450,5755836.300,79.640,164,184,120
401930.370,5755836.140,79.560,126,146,80
401930.460,5755836.600,79.720,178,204,138
401930.370,5755836.450,79.650,178,202,133
401930.290,5755836.280,79.560,159,180,109
401930.180,5755836.280,79.620,153,177,102
