//X,Y,Z,R,G,B
401825.080,5755900.060,79.960,191,208,153
401825.190,5755900.110,79.970,191,210,148
401825.260,5755900.190,79.940,173,191,133
401825.390,5755900.230,79.970,178,192,142
401825.490,5755900.290,79.960,208,219,170
401825.600,5755900.340,79.960,203,217,169
401825.690,5755900.410,79.950,212,223,174
401825.790,5755900.470,79.950,234,242,199
401825.850,5755900.550,79.900,228,237,195
401825.930,5755900.610,79.880,222,232,186
401826.040,5755900.670,79.880,225,235,192
401826.150,5755900.720,79.890,236,244,201
401826.300,5755900.760,79.930,238,247,204
401826.420,5755900.800,79.960,223,234,193
401826.930,5755901.090,79.950,219,226,182
401827.070,5755901.130,79.990,200,202,153
401827.620,5755901.390,80.030,211,228,169
401827.810,5755901.510,80.000,206,221,163
401825.180,5755899.940,79.970,204,219,169
401825.270,5755900.000,79.960,171,189,141
401825.350,5755900.070,79.930,161,175,130
401825.490,5755900.110,79.970,171,182,138
401825.580,5755900.180,79.950,209,219,171
401825.680,5755900.230,79.950,219,231,184
401825.770,5755900.300,79.940,227,237,193
401825.890,5755900.340,79.950,234,244,201
401825.960,5755900.420,79.910,219,230,184
401826.040,5755900.490,79.890,218,228,178
401826.100,5755900.570,79.840,217,229,183
401826.220,5755900.620,79.860,231,240,195
401826.370,5755900.650,79.910,231,241,198
401826.470,5755900.710,79.910,230,239,199
401826.570,5755900.770,79.900,214,221,181
401826.680,5755900.820,79.910,206,207,160
401826.750,5755900.900,79.880,202,196,146
401826.880,5755900.940,79.900,236,235,187
401827.040,5755900.960,79.960,228,235,188
401827.150,5755901.010,79.980,222,226,176
401827.200,5755901.110,79.910,222,230,177
401827.240,5755901.200,79.840,207,223,164
401827.340,5755901.260,79.830,201,219,156
401827.510,5755901.280,79.910,217,231,170
401827.610,5755901.330,79.910,214,227,170
401827.680,5755901.410,79.870,214,227,171
401827.870,5755901.410,79.970,207,218,163
401827.940,5755901.490,79.930,218,232,172
401827.990,5755901.580,79.860,200,220,157
401828.060,5755901.660,79.830,190,209,148
401828.180,5755901.710,79.840,196,211,156
401828.270,5755901.770,79.830,197,211,158
401835.510,5755905.270,80.300,121,150,85
401825.190,5755899.760,79.990,213,226,177
401825.290,5755899.820,79.980,185,202,157
401825.350,5755899.890,79.940,142,160,119
401825.440,5755899.960,79.920,170,182,138
401825.540,5755900.020,79.920,178,187,142
401825.650,5755900.070,79.930,217,224,176
401825.750,5755900.130,79.930,228,237,189
401825.880,5755900.170,79.950,230,240,195
401825.970,5755900.230,79.940,233,242,202
401826.050,5755900.300,79.910,216,225,183
401826.100,5755900.390,79.860,220,229,181
401826.200,5755900.450,79.850,210,221,175
401826.310,5755900.500,79.860,213,224,176
401826.450,5755900.540,79.890,226,237,190
401826.510,5755900.620,79.840,223,234,189
401826.620,5755900.670,79.850,211,216,170
401826.760,5755900.710,79.890,209,206,156
401826.820,5755900.790,79.850,222,220,167
401826.960,5755900.830,79.890,239,243,192
401827.140,5755900.840,79.970,226,235,184
401827.250,5755900.890,79.980,220,230,181
401827.320,5755900.970,79.940,213,228,174
401827.520,5755900.970,80.050,199,219,156
401827.630,5755901.020,80.060,205,223,159
401827.610,5755901.150,79.920,224,238,180
401827.860,5755901.120,80.080,222,234,182
401827.850,5755901.240,79.960,223,232,180
401828.000,5755901.270,80.010,210,221,166
401828.080,5755901.340,79.980,213,227,168
401828.060,5755901.470,79.840,198,215,157
401828.130,5755901.550,79.800,197,211,153
401828.250,5755901.600,79.820,206,220,164
401828.360,5755901.650,79.830,205,223,162
401828.430,5755901.730,79.790,219,237,169
401828.560,5755901.770,79.820,228,243,174
401828.670,5755901.820,79.830,226,239,172
401828.770,5755901.890,79.820,215,230,164
401828.840,5755901.960,79.790,212,225,158
401828.930,5755902.030,79.760,227,225,167
401829.040,5755902.080,79.770,234,223,172
401829.170,5755902.120,79.800,227,216,166
401829.290,5755902.170,79.820,232,229,178
401829.400,5755902.220,79.830,223,231,180
401829.500,5755902.280,79.820,224,237,186
401829.620,5755902.320,79.850,226,241,190
401829.720,5755902.390,79.840,226,241,189
401829.810,5755902.450,79.820,226,238,188
401829.900,5755902.520,79.800,226,237,189
401829.990,5755902.580,79.790,227,236,187
401830.090,5755902.650,79.780,219,228,171
401830.180,5755902.710,79.770,225,232,175
401830.280,5755902.770,79.760,236,241,191
401833.930,5755904.580,79.950,189,217,150
