//X,Y,Z,R,G,B
401915.780,5755787.880,81.150,99,124,74
401916.020,5755787.620,81.070,164,175,121
401915.970,5755787.720,81.080,145,164,103
401915.900,5755787.820,81.070,126,149,95
401915.860,5755787.930,81.090,138,158,101
401916.090,5755787.660,80.990,206,208,164
401916.070,5755787.780,81.030,173,183,127
401916.020,5755787.880,81.040,146,163,109
401915.920,5755787.970,81.010,175,194,139
401916.210,5755787.730,80.970,231,227,200
401916.150,5755787.830,80.970,200,199,161
401916.090,5755787.930,80.980,174,181,133
401916.080,5755788.050,81.030,179,196,138
401916.300,5755787.910,80.990,236,228,204
401916.260,5755788.010,81.010,214,213,172
401916.210,5755788.120,81.020,216,228,166
401916.140,5755788.210,81.010,220,236,170
401916.390,5755788.090,81.010,241,237,205
401916.350,5755788.190,81.020,225,234,173
401916.300,5755788.290,81.030,222,235,169
401916.510,5755788.150,80.990,241,237,213
401916.450,5755788.250,80.990,199,201,156
401916.430,5755788.360,81.030,210,220,165
401916.700,5755788.240,81.040,249,245,229
401916.610,5755788.330,81.010,221,217,184
401916.500,5755788.410,80.960,204,214,154
401916.920,5755788.220,81.070,254,253,247
401916.840,5755788.310,81.050,251,248,237
401916.770,5755788.410,81.040,248,245,221
401916.670,5755788.490,80.990,231,238,181
401917.040,5755788.290,81.050,252,252,246
401916.970,5755788.380,81.040,251,249,239
401916.920,5755788.480,81.050,251,249,233
401916.830,5755788.570,81.020,241,246,206
401916.740,5755788.660,80.990,209,225,160
401917.150,5755788.470,81.090,254,254,245
401917.090,5755788.570,81.090,250,247,231
401917.020,5755788.660,81.070,232,234,198
401916.920,5755788.750,81.030,194,210,153
401917.050,5755788.450,80.840,253,252,242
401917.210,5755788.630,81.070,251,248,230
401917.150,5755788.730,81.070,239,239,205
401917.080,5755788.830,81.060,209,221,165
401917.180,5755788.400,80.770,253,252,245
401917.200,5755788.530,80.850,253,251,240
401917.330,5755788.700,81.050,252,249,231
401917.280,5755788.800,81.060,231,234,200
401917.220,5755788.900,81.070,184,200,143
401917.170,5755789.000,81.080,177,197,129
401917.410,5755788.630,80.940,251,251,240
401917.430,5755788.760,81.020,252,251,236
401917.380,5755788.860,81.030,221,220,190
401917.340,5755788.960,81.050,185,194,142
401917.300,5755789.070,81.070,180,195,129
401917.550,5755788.700,80.940,253,253,244
401917.550,5755788.820,81.000,253,252,242
401917.490,5755788.920,81.000,245,243,223
401917.460,5755789.030,81.030,234,239,192
401917.410,5755789.130,81.050,223,235,171
401917.640,5755788.750,80.890,254,254,247
401917.650,5755788.880,80.970,255,255,248
401917.610,5755788.980,80.990,253,253,240
401917.580,5755789.090,81.020,246,248,214
401917.540,5755789.200,81.040,230,239,184
401917.760,5755788.940,80.950,255,255,250
401917.650,5755789.020,80.890,254,254,245
401917.620,5755789.130,80.920,243,245,218
401917.620,5755789.250,80.980,228,234,185
401917.660,5755789.380,81.090,224,231,172
401917.900,5755789.010,80.950,255,255,251
401917.910,5755789.130,81.020,254,254,245
401918.000,5755789.290,81.190,248,246,222
401917.960,5755789.390,81.210,245,247,197
401917.930,5755789.500,81.240,242,247,189
401918.140,5755789.240,81.130,254,253,246
401918.110,5755789.350,81.170,252,248,229
401918.070,5755789.450,81.190,248,247,206
401917.990,5755789.540,81.170,243,246,191
401918.280,5755789.310,81.150,254,254,246
401918.140,5755789.380,81.050,250,247,229
401918.190,5755789.510,81.180,248,247,214
401918.210,5755789.640,81.260,245,248,201
401918.200,5755789.750,81.310,227,237,174
401918.380,5755789.370,81.110,253,252,240
401918.320,5755789.460,81.100,241,239,208
401918.260,5755789.560,81.110,229,231,185
401918.340,5755789.710,81.260,236,242,189
401918.310,5755789.810,81.300,220,231,166
401918.440,5755789.530,81.090,241,240,196
401918.470,5755789.660,81.200,233,236,179
401918.480,5755789.780,81.270,224,233,169
401918.450,5755789.880,81.300,204,218,145
401918.470,5755790.010,81.390,186,202,123
401918.550,5755789.940,81.270,205,219,143
401918.570,5755790.060,81.360,194,209,129
401918.650,5755790.110,81.300,200,222,141
401918.850,5755790.200,81.380,175,201,129
401918.920,5755790.250,81.320,181,203,134
401918.970,5755790.290,81.230,172,194,125
401918.970,5755790.400,81.290,163,187,119
401919.130,5755790.360,81.260,176,196,130
401919.090,5755790.470,81.280,176,196,123
401919.450,5755790.150,81.290,171,184,132
401919.400,5755790.250,81.290,170,189,131
401919.360,5755790.350,81.310,185,203,143
401919.270,5755790.440,81.280,190,210,142
401919.230,5755790.540,81.300,189,212,131
401919.520,5755790.310,81.290,179,196,136
401919.500,5755790.420,81.330,192,211,151
401919.470,5755790.520,81.360,179,201,134
401919.310,5755790.590,81.240,174,199,124
401919.690,5755790.390,81.340,197,217,145
401919.640,5755790.490,81.340,182,205,139
401919.580,5755790.580,81.340,172,195,124
401919.540,5755790.680,81.350,170,193,121
401919.870,5755790.480,81.400,173,196,125
401919.850,5755790.580,81.430,171,194,121
401919.760,5755790.670,81.400,179,198,126
401919.700,5755790.760,81.400,179,198,135
401919.560,5755790.830,81.300,171,190,119
401920.490,5755791.070,81.230,168,190,117
401920.380,5755791.480,81.370,149,168,104
401920.600,5755791.130,81.210,161,181,112
401920.540,5755791.220,81.200,152,170,101
401920.490,5755791.320,81.210,154,177,97
401920.450,5755791.420,81.240,162,188,113
401920.450,5755791.530,81.300,143,164,98
401920.710,5755791.190,81.190,152,172,105
401920.640,5755791.280,81.180,147,166,94
401920.600,5755791.380,81.200,150,171,94
401920.570,5755791.480,81.230,134,159,90
401920.520,5755791.570,81.240,143,167,104
401920.750,5755791.330,81.160,153,169,106
401920.710,5755791.430,81.180,176,186,132
401920.690,5755791.540,81.230,132,147,100
401920.570,5755791.620,81.150,134,155,109
401920.780,5755791.370,81.050,156,173,112
401920.830,5755791.500,81.180,171,185,139
401920.740,5755791.580,81.140,157,173,128
401920.640,5755791.660,81.090,144,159,121
401920.910,5755791.430,81.060,134,148,92
401920.760,5755791.500,80.940,123,140,91
401920.680,5755791.590,80.920,157,178,131
401920.690,5755791.700,81.000,152,169,123
401920.960,5755791.470,80.970,136,150,99
401920.880,5755791.560,80.940,152,171,117
401920.830,5755791.660,80.950,142,162,114
401920.760,5755791.750,80.930,140,159,111
401920.910,5755791.480,80.760,131,149,99
401920.970,5755791.610,80.900,143,165,112
401920.850,5755791.690,80.820,143,164,115
401920.990,5755791.530,80.700,125,142,99
401920.930,5755791.620,80.690,125,146,98
