//X,Y,Z,R,G,B
401945.520,5755862.480,79.520,180,202,97
401945.510,5755862.380,79.390,182,205,90
401945.430,5755862.320,79.380,186,208,78
401945.330,5755862.260,79.390,176,199,82
401945.570,5755862.620,79.440,195,213,109
401945.450,5755862.570,79.490,189,207,98
401945.380,5755862.500,79.460,187,210,89
401945.280,5755862.440,79.480,194,215,87
401945.180,5755862.380,79.490,182,204,88
401945.100,5755862.310,79.480,174,199,79
401945.040,5755862.240,79.440,190,213,83
401945.510,5755862.700,79.410,196,213,104
401945.360,5755862.670,79.510,197,215,105
401945.170,5755862.640,79.660,191,213,92
401945.150,5755862.550,79.550,198,220,98
401945.050,5755862.490,79.560,188,209,97
401945.010,5755862.410,79.480,194,216,95
401944.950,5755862.330,79.440,193,214,87
401944.870,5755862.260,79.420,205,224,88
401945.160,5755862.710,79.540,191,216,83
401945.080,5755862.640,79.520,189,214,91
401944.970,5755862.580,79.560,190,212,101
401944.920,5755862.500,79.490,196,215,95
401944.850,5755862.430,79.460,203,223,93
401944.790,5755862.350,79.410,204,223,91
401944.740,5755862.270,79.350,206,224,96
401945.010,5755862.720,79.490,187,212,95
401944.920,5755862.660,79.500,183,207,95
401944.820,5755862.600,79.510,195,215,96
401944.750,5755862.530,79.470,200,221,96
401944.690,5755862.450,79.430,198,217,95
401944.650,5755862.370,79.360,201,221,101
401944.640,5755862.270,79.230,195,215,93
401944.780,5755862.680,79.440,195,216,96
401944.710,5755862.610,79.410,201,222,102
401944.650,5755862.530,79.360,198,219,100
401944.550,5755862.470,79.380,203,224,99
401944.500,5755862.390,79.310,205,225,104
401944.470,5755862.300,79.220,203,222,108
401944.650,5755862.690,79.360,208,228,104
401944.550,5755862.630,79.380,199,220,98
401944.510,5755862.550,79.310,200,223,90
401944.500,5755862.450,79.170,202,223,97
401944.380,5755862.390,79.220,203,222,105
401944.330,5755862.310,79.150,200,219,101
401944.400,5755862.650,79.340,200,222,93
401944.290,5755862.590,79.370,202,222,98
401944.290,5755862.490,79.230,212,229,115
401944.210,5755862.420,79.210,215,231,126
401944.120,5755862.360,79.200,215,235,126
401943.980,5755862.320,79.300,204,224,115
401944.340,5755862.730,79.300,202,224,94
401944.240,5755862.670,79.320,201,222,100
401944.180,5755862.600,79.270,215,234,122
401944.100,5755862.530,79.260,198,219,116
401944.010,5755862.460,79.250,190,215,100
401943.890,5755862.410,79.300,189,214,97
401943.780,5755862.360,79.340,184,207,105
401943.690,5755862.300,79.340,183,206,93
401944.180,5755862.750,79.270,199,222,103
401944.100,5755862.690,79.260,204,229,120
401944.050,5755862.610,79.200,175,202,100
401943.940,5755862.550,79.230,171,197,85
401943.780,5755862.520,79.350,187,211,93
401943.680,5755862.460,79.360,185,207,105
401943.620,5755862.390,79.320,186,205,109
401943.490,5755862.340,79.390,175,194,96
401943.360,5755862.300,79.450,174,197,78
401943.890,5755862.730,79.320,179,207,98
401943.770,5755862.680,79.370,175,199,97
401943.640,5755862.640,79.450,190,213,97
401943.530,5755862.590,79.480,193,215,99
401943.430,5755862.530,79.500,187,206,108
401943.380,5755862.450,79.430,177,197,102
401943.290,5755862.380,79.430,166,189,80
401943.210,5755862.320,79.420,177,202,81
401943.550,5755862.740,79.460,176,200,92
401943.420,5755862.690,79.530,194,216,105
401943.350,5755862.620,79.490,195,215,110
401943.240,5755862.570,79.530,186,206,106
401943.170,5755862.500,79.500,175,197,92
401943.110,5755862.420,79.440,175,198,87
401943.070,5755862.330,79.360,172,197,75
401943.350,5755862.780,79.500,184,209,100
401943.230,5755862.730,79.560,186,212,98
401943.170,5755862.650,79.510,185,209,103
401943.100,5755862.580,79.470,172,195,93
401942.970,5755862.540,79.550,169,193,90
401942.890,5755862.480,79.540,172,195,82
401942.940,5755862.340,79.280,185,206,93
401943.070,5755862.760,79.540,171,196,104
401943.020,5755862.670,79.470,170,195,96
401942.800,5755862.680,79.710,164,190,90
401942.700,5755862.620,79.720,162,183,88
401942.780,5755862.480,79.430,178,202,96
401942.730,5755862.390,79.360,181,204,84
401942.640,5755862.330,79.360,202,220,116
401942.770,5755862.740,79.620,166,194,89
401942.670,5755862.680,79.630,160,186,80
