//X,Y,Z,R,G,B
401807.490,5755946.440,79.420,174,173,140
401807.430,5755946.530,79.410,147,153,126
401807.380,5755946.600,79.420,120,136,112
401807.330,5755946.680,79.430,105,126,105
401807.330,5755946.730,79.520,106,129,109
401807.590,5755946.470,79.450,209,209,165
401807.520,5755946.560,79.420,175,175,144
401807.470,5755946.640,79.420,135,144,123
401807.430,5755946.710,79.440,117,133,115
401807.420,5755946.770,79.520,114,134,114
401807.700,5755946.500,79.480,202,208,163
401807.630,5755946.580,79.460,171,175,140
401807.560,5755946.670,79.420,142,153,129
401807.530,5755946.740,79.460,121,137,117
401807.500,5755946.810,79.490,115,133,115
401807.810,5755946.520,79.520,187,204,162
401807.750,5755946.610,79.500,162,179,146
401807.680,5755946.690,79.470,148,167,141
401807.640,5755946.770,79.490,135,153,130
401807.590,5755946.850,79.490,123,143,125
401807.910,5755946.550,79.540,181,207,167
401807.850,5755946.640,79.520,178,204,166
401807.790,5755946.720,79.510,184,208,173
401807.730,5755946.800,79.490,171,194,162
401807.670,5755946.880,79.480,143,166,143
401807.990,5755946.590,79.530,179,207,165
401807.950,5755946.670,79.540,199,225,180
401807.900,5755946.740,79.550,219,239,195
401807.840,5755946.820,79.540,205,226,181
401807.790,5755946.910,79.520,172,196,159
401807.730,5755946.990,79.510,148,176,147
401808.050,5755946.700,79.560,200,226,175
401808.010,5755946.770,79.580,230,247,192
401807.960,5755946.840,79.590,215,233,174
401807.900,5755946.930,79.570,182,207,153
401807.830,5755947.020,79.530,161,188,147
401808.170,5755946.670,79.510,178,205,157
401808.110,5755946.750,79.500,186,213,159
401808.100,5755946.800,79.590,216,237,175
401808.050,5755946.880,79.590,216,236,167
401807.990,5755946.960,79.570,187,211,149
401807.930,5755947.050,79.560,168,195,146
401808.230,5755946.770,79.560,194,212,161
401808.190,5755946.840,79.580,202,222,163
401808.140,5755946.910,79.600,207,226,165
401808.090,5755946.990,79.590,192,212,156
401808.020,5755947.080,79.550,176,201,152
401808.320,5755946.800,79.560,237,244,191
401808.290,5755946.870,79.600,224,234,181
401808.230,5755946.950,79.580,223,236,182
401808.160,5755947.040,79.560,211,228,174
401808.110,5755947.120,79.560,177,199,151
401808.420,5755946.830,79.570,241,249,181
401808.340,5755946.920,79.530,238,248,184
401808.300,5755947.000,79.540,233,246,183
401808.230,5755947.090,79.510,207,226,167
401808.240,5755947.120,79.640,174,195,147
401808.480,5755946.880,79.530,245,253,179
401808.410,5755946.970,79.490,237,247,177
401808.380,5755947.040,79.530,229,242,173
401808.320,5755947.120,79.520,213,231,167
401808.290,5755947.180,79.560,177,199,147
401808.370,5755947.220,79.540,165,189,133
401809.000,5755947.280,79.520,247,250,199
401808.940,5755947.360,79.500,216,225,173
401808.890,5755947.440,79.510,182,198,153
401809.140,5755947.240,79.520,244,249,189
401809.080,5755947.320,79.500,236,244,186
401809.010,5755947.410,79.470,216,230,174
401808.960,5755947.490,79.470,201,219,167
401809.260,5755947.250,79.590,244,249,189
401809.010,5755947.590,79.490,201,220,173
401809.760,5755947.460,79.560,252,253,220
401809.840,5755947.500,79.540,252,253,227
401809.790,5755947.580,79.540,255,255,238
401809.890,5755947.600,79.570,255,255,245
401809.830,5755947.690,79.550,255,255,242
401809.780,5755947.760,79.560,254,255,233
401810.030,5755947.560,79.590,255,255,239
401809.940,5755947.660,79.490,255,255,242
401809.920,5755947.720,79.550,255,255,242
401809.870,5755947.790,79.560,255,255,241
401809.790,5755947.900,79.480,252,253,230
401810.120,5755947.630,79.700,252,254,224
401809.990,5755947.760,79.530,254,255,231
401809.950,5755947.830,79.560,255,255,236
401809.870,5755947.930,79.470,254,254,236
401810.170,5755947.680,79.630,236,241,192
401810.120,5755947.760,79.630,247,251,211
401810.030,5755947.870,79.530,250,251,219
401809.980,5755947.950,79.520,249,250,223
401810.270,5755947.670,79.550,243,245,203
401810.240,5755947.730,79.590,245,247,208
401810.200,5755947.800,79.620,248,251,214
401810.100,5755947.910,79.500,246,247,210
401810.050,5755947.990,79.490,244,245,207
401810.330,5755947.720,79.480,246,248,209
401810.310,5755947.780,79.550,251,253,221
401810.280,5755947.840,79.590,254,255,229
401810.180,5755947.950,79.490,254,254,229
401810.130,5755948.030,79.490,254,254,223
401810.110,5755948.080,79.560,251,250,211
401810.400,5755947.770,79.450,251,253,217
401810.360,5755947.830,79.480,253,254,222
401810.310,5755947.910,79.480,254,255,224
401810.270,5755947.980,79.490,254,255,229
401810.220,5755948.060,79.490,254,255,231
401810.180,5755948.120,79.530,254,253,225
401810.500,5755947.790,79.480,253,254,223
401810.430,5755947.880,79.430,254,255,222
401810.400,5755947.940,79.470,250,253,217
401810.350,5755948.010,79.490,247,253,217
401810.300,5755948.100,79.470,252,255,224
401810.580,5755947.820,79.480,255,255,231
401810.530,5755947.900,79.480,254,255,221
401810.480,5755947.970,79.480,252,254,216
401810.440,5755948.050,79.500,249,253,212
401810.400,5755948.110,79.520,248,254,210
401810.340,5755948.200,79.500,245,253,211
401810.650,5755947.870,79.450,254,255,219
401810.590,5755947.950,79.410,252,254,210
401810.560,5755948.020,79.450,251,253,205
401810.530,5755948.080,79.500,251,254,203
401810.470,5755948.160,79.490,249,254,202
401810.420,5755948.240,79.480,248,254,207
401810.760,5755947.920,79.620,253,254,208
401810.670,5755948.020,79.530,251,253,211
401810.620,5755948.100,79.530,251,254,207
401810.570,5755948.180,79.520,247,253,196
401810.510,5755948.260,79.500,247,253,198
401810.810,5755947.940,79.430,243,249,196
401810.760,5755948.020,79.410,251,254,209
401810.730,5755948.080,79.470,254,255,225
401810.710,5755948.130,79.520,252,254,218
401810.650,5755948.220,79.500,246,252,200
401810.590,5755948.300,79.490,245,252,198
401810.900,5755947.970,79.430,235,245,190
401810.900,5755948.000,79.560,247,252,211
401810.850,5755948.080,79.550,254,255,227
401810.800,5755948.150,79.560,252,254,220
401810.760,5755948.220,79.580,250,253,211
401810.700,5755948.310,79.560,252,254,206
401810.990,5755948.000,79.440,218,233,176
401810.960,5755948.060,79.500,226,239,185
401810.920,5755948.130,79.520,240,246,204
401810.870,5755948.200,79.520,249,251,217
401810.820,5755948.280,79.520,249,251,214
401810.780,5755948.350,79.540,249,253,207
401811.080,5755948.030,79.450,230,243,197
401811.030,5755948.100,79.450,217,235,181
401810.980,5755948.180,79.450,204,224,169
401810.940,5755948.240,79.490,203,219,166
401810.900,5755948.320,79.500,203,219,166
401810.850,5755948.390,79.510,226,238,184
401811.160,5755948.060,79.450,252,255,222
401811.100,5755948.150,79.410,243,251,209
401811.050,5755948.220,79.430,226,242,192
401811.010,5755948.290,79.450,214,234,183
401810.970,5755948.360,79.460,206,227,180
401810.920,5755948.430,79.480,196,218,169
401811.240,5755948.090,79.450,254,255,225
401811.190,5755948.170,79.440,253,255,219
401811.130,5755948.250,79.430,249,254,213
401811.110,5755948.300,79.500,242,252,206
401811.030,5755948.410,79.410,239,251,208
401811.000,5755948.470,79.470,233,246,203
401811.280,5755948.200,79.460,255,255,226
401811.250,5755948.260,79.510,255,255,229
401811.200,5755948.340,79.500,253,255,222
401811.150,5755948.410,79.510,250,255,215
401811.080,5755948.500,79.460,249,254,211
401811.380,5755948.210,79.510,255,255,229
401811.310,5755948.310,79.460,253,254,227
401811.260,5755948.390,79.440,253,254,220
401811.220,5755948.450,79.480,254,255,219
401811.140,5755948.550,79.400,254,255,218
401811.460,5755948.250,79.500,248,251,216
401811.410,5755948.320,79.510,248,252,216
401811.360,5755948.400,79.510,249,252,217
401811.310,5755948.480,79.480,252,254,222
401811.250,5755948.560,79.470,254,255,225
401811.540,5755948.290,79.480,247,249,213
401811.490,5755948.360,79.490,252,253,220
401811.440,5755948.440,79.490,254,254,228
401811.390,5755948.510,79.480,253,254,234
401811.330,5755948.590,79.470,254,255,236
401811.590,5755948.350,79.400,246,246,205
401811.570,5755948.390,79.490,252,253,216
401811.510,5755948.480,79.460,253,254,226
401811.460,5755948.550,79.460,254,255,236
401811.410,5755948.630,79.460,254,255,235
401811.690,5755948.360,79.450,244,243,198
401811.640,5755948.440,79.450,250,251,211
401811.590,5755948.520,79.440,253,254,220
401811.530,5755948.600,79.430,253,254,221
401811.490,5755948.670,79.440,253,254,221
401811.760,5755948.400,79.420,250,252,213
401811.710,5755948.480,79.410,246,250,205
401811.660,5755948.560,79.410,249,252,211
401811.620,5755948.620,79.440,250,252,208
401811.860,5755948.420,79.460,249,252,215
401812.400,5755948.690,79.540,252,254,227
401812.480,5755948.730,79.520,254,254,238
401812.430,5755948.800,79.530,252,253,231
401812.560,5755948.760,79.520,255,255,243
401812.510,5755948.830,79.520,255,255,242
401812.460,5755948.910,79.520,254,255,239
401812.380,5755949.020,79.420,254,255,231
401812.330,5755949.080,79.440,252,254,223
401812.640,5755948.790,79.520,254,255,238
401812.590,5755948.860,79.530,254,255,241
401812.500,5755948.980,79.410,254,255,238
401812.460,5755949.040,79.430,255,255,231
401812.420,5755949.110,79.460,254,255,228
401812.720,5755948.820,79.520,253,254,231
401812.600,5755948.960,79.330,254,255,237
401812.570,5755949.020,79.380,254,254,235
401812.540,5755949.080,79.420,254,255,231
401812.500,5755949.140,79.460,254,255,230
401812.810,5755948.840,79.560,253,254,229
401812.770,5755948.910,79.570,252,253,227
401812.670,5755949.040,79.420,249,251,222
401812.630,5755949.090,79.460,247,251,214
401812.580,5755949.170,79.450,248,253,215
401812.540,5755949.240,79.480,252,254,228
401812.880,5755948.880,79.520,253,254,223
401812.840,5755948.950,79.550,253,254,221
401812.780,5755949.030,79.520,251,253,220
401812.730,5755949.110,79.510,241,246,206
401812.670,5755949.190,79.480,235,243,198
401812.620,5755949.260,79.490,241,248,210
401812.950,5755948.920,79.500,250,253,210
401812.910,5755948.980,79.530,250,254,210
401812.860,5755949.060,79.520,251,253,217
401812.810,5755949.140,79.510,251,253,222
401812.750,5755949.230,79.470,247,251,216
401812.700,5755949.300,79.480,245,250,216
401813.000,5755948.980,79.430,249,254,209
401812.970,5755949.040,79.470,249,253,211
401812.930,5755949.100,79.500,251,253,218
401812.890,5755949.160,79.530,254,255,228
401812.820,5755949.260,79.470,254,255,228
401812.780,5755949.330,79.470,252,254,223
401813.090,5755949.000,79.440,247,253,211
401813.070,5755949.040,79.530,251,254,222
401813.020,5755949.120,79.520,254,255,228
401812.980,5755949.180,79.560,254,255,229
401812.900,5755949.290,79.450,253,254,227
401813.140,5755949.080,79.510,254,255,235
401813.100,5755949.150,79.530,254,255,237
401813.060,5755949.210,79.560,254,255,234
401812.990,5755949.310,79.490,254,255,235
401813.240,5755949.100,79.560,255,255,236
401813.190,5755949.160,79.580,254,255,241
401813.110,5755949.270,79.480,254,255,241
401813.060,5755949.350,79.480,255,255,242
401813.280,5755949.180,79.610,253,254,235
401813.220,5755949.260,79.580,255,255,244
401813.170,5755949.350,79.550,255,255,245
401813.300,5755949.290,79.590,255,255,241
401813.260,5755949.360,79.590,255,255,247
401813.210,5755949.440,79.590,254,255,248
401813.390,5755949.320,79.600,253,253,228
401813.350,5755949.380,79.630,254,254,236
401813.310,5755949.450,79.640,255,255,240
401813.460,5755949.350,79.590,253,253,226
401813.410,5755949.420,79.590,252,253,227
401813.370,5755949.490,79.600,251,253,221
