,x_coord,y_coord,geometry,h_distance,Year,Elevation,sectionId
0,401915.8882199249,5755787.713104585,POINT (401915.8882199249 5755787.713104585),-14.999999999838433,DTM_2018,81.21684265136719,Chainage 0
1,401915.9828635908,5755787.786098174,POINT (401915.9828635908 5755787.786098174),-14.880478087684923,DTM_2018,81.22249603271484,Chainage 0
2,401916.07750725676,5755787.859091763,POINT (401916.0775072568 5755787.859091763),-14.76095617496264,DTM_2018,81.18599700927734,Chainage 0
3,401916.1721509227,5755787.932085352,POINT (401916.1721509227 5755787.932085352),-14.64143426280913,DTM_2018,81.1218490600586,Chainage 0
4,401916.2667945886,5755788.005078941,POINT (401916.2667945886 5755788.005078941),-14.521912350701712,DTM_2018,81.1218490600586,Chainage 0
5,401916.36143825453,5755788.07807253,POINT (401916.3614382545 5755788.07807253),-14.40239043797943,DTM_2018,81.08318328857422,Chainage 0
6,401916.4560819205,5755788.151066119,POINT (401916.4560819205 5755788.151066119),-14.282868525825918,DTM_2018,81.10863494873047,Chainage 0
7,401916.5507255864,5755788.2240597075,POINT (401916.5507255864 5755788.224059707),-14.163346613672408,DTM_2018,81.08318328857422,Chainage 0
8,401916.64536925236,5755788.297053297,POINT (401916.6453692524 5755788.297053297),-14.043824700950127,DTM_2018,81.09636688232422,Chainage 0
9,401916.7400129183,5755788.370046886,POINT (401916.7400129183 5755788.370046886),-13.924302788796616,DTM_2018,81.09636688232422,Chainage 0
10,401916.83465658425,5755788.443040475,POINT (401916.8346565843 5755788.443040475),-13.804780876074334,DTM_2018,81.11499786376953,Chainage 0
11,401916.9293002502,5755788.516034064,POINT (401916.9293002502 5755788.516034064),-13.685258963920823,DTM_2018,81.10277557373047,Chainage 0
12,401917.0239439161,5755788.5890276525,POINT (401917.0239439161 5755788.589027653),-13.565737051813404,DTM_2018,81.13533020019531,Chainage 0
13,401917.118587582,5755788.662021242,POINT (401917.118587582 5755788.662021242),-13.446215139091123,DTM_2018,81.12999725341797,Chainage 0
14,401917.21323124797,5755788.735014831,POINT (401917.213231248 5755788.735014831),-13.326693226937612,DTM_2018,81.13999938964844,Chainage 0
15,401917.3078749139,5755788.808008419,POINT (401917.3078749139 5755788.808008419),-13.207171314784102,DTM_2018,81.13600158691406,Chainage 0
16,401917.40251857985,5755788.881002009,POINT (401917.4025185799 5755788.881002009),-13.08764940206182,DTM_2018,81.11499786376953,Chainage 0
17,401917.4971622458,5755788.953995598,POINT (401917.4971622458 5755788.953995598),-12.968127489908309,DTM_2018,81.11499786376953,Chainage 0
18,401917.59180591174,5755789.026989186,POINT (401917.5918059117 5755789.026989186),-12.848605577754798,DTM_2018,81.10124969482422,Chainage 0
19,401917.6864495777,5755789.099982776,POINT (401917.6864495777 5755789.099982776),-12.729083665032515,DTM_2018,81.09187316894531,Chainage 0
20,401917.78109324357,5755789.172976364,POINT (401917.7810932436 5755789.172976364),-12.609561752925098,DTM_2018,81.08631896972656,Chainage 0
21,401917.8757369095,5755789.245969953,POINT (401917.8757369095 5755789.245969953),-12.490039840771587,DTM_2018,81.0838851928711,Chainage 0
22,401917.97038057545,5755789.318963543,POINT (401917.9703805755 5755789.318963543),-12.370517928049306,DTM_2018,81.08399963378906,Chainage 0
23,401918.0650242414,5755789.391957131,POINT (401918.0650242414 5755789.391957131),-12.250996015895794,DTM_2018,81.08399963378906,Chainage 0
24,401918.15966790734,5755789.464950721,POINT (401918.1596679073 5755789.464950721),-12.131474103173513,DTM_2018,81.13058471679688,Chainage 0
25,401918.2543115733,5755789.537944309,POINT (401918.2543115733 5755789.537944309),-12.011952191020002,DTM_2018,81.13058471679688,Chainage 0
26,401918.3489552392,5755789.610937898,POINT (401918.3489552392 5755789.610937898),-11.892430278866492,DTM_2018,81.18000030517578,Chainage 0
27,401918.44359890517,5755789.683931488,POINT (401918.4435989052 5755789.683931488),-11.77290836614421,DTM_2018,81.18499755859375,Chainage 0
28,401918.53824257106,5755789.756925076,POINT (401918.5382425711 5755789.756925076),-11.653386454036792,DTM_2018,81.22138214111328,Chainage 0
29,401918.632886237,5755789.829918665,POINT (401918.632886237 5755789.829918665),-11.53386454188328,DTM_2018,81.22463989257812,Chainage 0
30,401918.72752990294,5755789.902912254,POINT (401918.7275299029 5755789.902912254),-11.414342629160998,DTM_2018,81.2414321899414,Chainage 0
31,401918.8221735689,5755789.975905843,POINT (401918.8221735689 5755789.975905843),-11.294820717007488,DTM_2018,81.2414321899414,Chainage 0
32,401918.9168172348,5755790.048899432,POINT (401918.9168172348 5755790.048899432),-11.175298804853977,DTM_2018,81.22615051269531,Chainage 0
33,401919.0114609008,5755790.121893021,POINT (401919.0114609008 5755790.121893021),-11.055776892131696,DTM_2018,81.22615051269531,Chainage 0
34,401919.1061045667,5755790.19488661,POINT (401919.1061045667 5755790.19488661),-10.936254979978184,DTM_2018,81.23773956298828,Chainage 0
35,401919.20074823266,5755790.267880199,POINT (401919.2007482327 5755790.267880199),-10.816733067824675,DTM_2018,81.24727630615234,Chainage 0
36,401919.29539189854,5755790.340873788,POINT (401919.2953918985 5755790.340873788),-10.697211155148484,DTM_2018,81.32906341552734,Chainage 0
37,401919.3900355645,5755790.413867377,POINT (401919.3900355645 5755790.413867377),-10.577689242994973,DTM_2018,81.32906341552734,Chainage 0
38,401919.48467923043,5755790.486860965,POINT (401919.4846792304 5755790.486860965),-10.458167330841462,DTM_2018,81.45789337158203,Chainage 0
39,401919.5793228964,5755790.559854555,POINT (401919.5793228964 5755790.559854555),-10.338645418119182,DTM_2018,81.45789337158203,Chainage 0
40,401919.6739665623,5755790.632848144,POINT (401919.6739665623 5755790.632848144),-10.219123505965669,DTM_2018,81.4703140258789,Chainage 0
41,401919.76861022826,5755790.705841733,POINT (401919.7686102283 5755790.705841733),-10.099601593243388,DTM_2018,81.47000122070312,Chainage 0
42,401919.8632538942,5755790.778835322,POINT (401919.8632538942 5755790.778835322),-9.980079681089878,DTM_2018,81.45772552490234,Chainage 0
43,401919.95789756015,5755790.85182891,POINT (401919.9578975601 5755790.85182891),-9.860557768936367,DTM_2018,81.44000244140625,Chainage 0
44,401920.05254122603,5755790.9248225,POINT (401920.052541226 5755790.9248225),-9.741035856260178,DTM_2018,81.44000244140625,Chainage 0
45,401920.147184892,5755790.997816089,POINT (401920.147184892 5755790.997816089),-9.621513944106667,DTM_2018,81.36282348632812,Chainage 0
46,401920.2418285579,5755791.070809677,POINT (401920.2418285579 5755791.070809677),-9.501992031953156,DTM_2018,81.31680297851562,Chainage 0
47,401920.33647222386,5755791.143803267,POINT (401920.3364722239 5755791.143803267),-9.382470119230874,DTM_2018,81.26045227050781,Chainage 0
48,401920.4311158898,5755791.216796855,POINT (401920.4311158898 5755791.216796855),-9.262948207077365,DTM_2018,81.1918716430664,Chainage 0
49,401920.52575955575,5755791.289790444,POINT (401920.5257595557 5755791.289790444),-9.143426294923852,DTM_2018,81.07522583007812,Chainage 0
50,401920.6204032217,5755791.362784034,POINT (401920.6204032217 5755791.362784034),-9.023904382201572,DTM_2018,81.07522583007812,Chainage 0
51,401920.7150468876,5755791.435777622,POINT (401920.7150468876 5755791.435777622),-8.904382470094152,DTM_2018,80.96929931640625,Chainage 0
52,401920.8096905535,5755791.508771211,POINT (401920.8096905535 5755791.508771211),-8.784860557940641,DTM_2018,80.96929931640625,Chainage 0
53,401920.90433421946,5755791.5817648005,POINT (401920.9043342195 5755791.5817648),-8.665338645218359,DTM_2018,80.89080047607422,Chainage 0
54,401920.9989778854,5755791.654758389,POINT (401920.9989778854 5755791.654758389),-8.54581673306485,DTM_2018,80.83744812011719,Chainage 0
55,401921.09362155135,5755791.727751979,POINT (401921.0936215514 5755791.727751979),-8.426294820342568,DTM_2018,80.83744812011719,Chainage 0
56,401921.1882652173,5755791.800745567,POINT (401921.1882652173 5755791.800745567),-8.306772908189057,DTM_2018,80.76525115966797,Chainage 0
57,401921.28290888324,5755791.873739156,POINT (401921.2829088832 5755791.873739156),-8.187250996035544,DTM_2018,80.71806335449219,Chainage 0
58,401921.3775525492,5755791.9467327455,POINT (401921.3775525492 5755791.946732746),-8.067729083313264,DTM_2018,80.71806335449219,Chainage 0
59,401921.47219621507,5755792.019726334,POINT (401921.4721962151 5755792.019726334),-7.948207171205846,DTM_2018,80.69999694824219,Chainage 0
60,401921.566839881,5755792.092719923,POINT (401921.566839881 5755792.092719923),-7.828685259052334,DTM_2018,80.72513580322266,Chainage 0
61,401921.66148354695,5755792.165713512,POINT (401921.661483547 5755792.165713512),-7.709163346330053,DTM_2018,80.69444274902344,Chainage 0
62,401921.7561272129,5755792.238707101,POINT (401921.7561272129 5755792.238707101),-7.589641434176542,DTM_2018,80.73529052734375,Chainage 0
